,pl_name,disposition,pl_orbper,pl_rade,pl_trandep,st_teff,st_rad,st_logg,dec
81,EPIC 211492541.01,0.0,1.031746,38.15883783783784,1.3062,7598.94,1.85,4.15,13.0319453
82,EPIC 211493669.01,0.0,0.58337,36.41345945945946,1.6936,5802.79,0.74,4.71,13.0490997
83,EPIC 211524114.01,0.0,0.715676,46.84932432432432,0.1668,4476.31,7.82,4.330810810810811,13.4793426
84,EPIC 211600389.01,0.0,0.630717,43.73472972972973,16.3414,6591.15,1.58,4.18,14.5447545
85,EPIC 211604981.01,0.0,12.427163,46.66002702702703,1.6631,6435.2,2.4,3.79,14.6068847
86,EPIC 211607670.01,0.0,1.348851,37.56021621621621,21.782,6311.4,1.39,4.25,14.6429247
87,EPIC 211607804.01,0.0,1.490219,46.441405405405405,73.3825,7175.46,1.73,4.17,14.6447599
88,EPIC 211621961.01,0.0,11.078847,43.865540540540536,12.1654,5162.0,1.96,4.472702702702704,14.8421191
89,EPIC 211625003.01,0.0,0.530431,46.089594594594594,40.9431,5666.31,1.49,4.1,14.8859919
90,EPIC 211630537.01,0.0,0.69719,37.21975675675675,3.4039,5535.52,1.46,4.1,14.9645433
91,EPIC 211638883.01,0.0,0.543877,38.595864864864865,0.0659,6177.78,1.36,4.24,15.0821831
92,EPIC 211639283.01,0.0,6.741846,44.13489189189189,5.5296,4861.09,2.14,4.392972972972973,15.0878845
93,EPIC 211644647.01,0.0,2.044175,44.843648648648646,7.196,5480.16,2.5,3.62,15.1609156
94,EPIC 211651743.01,0.0,0.516235,43.651756756756754,11.1574,7701.0,2.09,4.06,15.2584092
95,EPIC 211662047.01,0.0,0.635238,41.06175675675675,12.6462,4743.31,0.92,4.39,15.399444
96,EPIC 211663508.01,0.0,0.544418,46.65256756756756,43.4869,5076.71,1.07,4.31,15.4202076
97,EPIC 211664543.01,0.0,0.698333,45.07391891891891,10.6429,4081.0,0.66,4.6,15.4349422
98,EPIC 211710534.01,0.0,3.022569,38.15883783783783,5.6458,6481.66,1.89,4.01,16.0553155
99,EPIC 211737652.01,0.0,2.46819,43.91002702702701,48.389,8315.0,0.82,4.92,16.4335416
100,EPIC 211738534.01,0.0,0.56802,43.55651351351351,1.3803,3385.0,0.45,4.78,16.4458014
101,EPIC 211764271.01,0.0,3.576744,46.189486486486494,6.8508,5896.1,1.31,4.23,16.809082
102,EPIC 211764373.01,0.0,3.57678,34.502135135135134,3.1467,5474.0,0.93,4.48,16.8102645
103,EPIC 211809568.01,0.0,0.593274,46.64759459459458,63.6988,5557.0,1.08,4.36,17.4516768
104,EPIC 211828142.01,0.0,20.180269,43.05175675675675,39.5334,3380.0,0.34,4.88,17.7159404
105,EPIC 211829982.01,0.0,5.803439,46.03067567567567,62.7831,5029.0,1.01,4.36,17.7424557
106,EPIC 211838158.01,0.0,0.575349,39.20229729729729,52.2455,5033.0,1.05,4.32,17.8569949
107,EPIC 211841496.01,0.0,0.522199,46.67381081081081,3.5912,5719.7143243243245,2.468108108108108,4.3697297297297295,17.9021238
108,EPIC 211852187.01,0.0,14.343042,43.569783783783784,11.0696,3260.0,0.42,4.8,18.0481127
109,EPIC 211858408.01,0.0,0.628876,38.15805405405404,10.9867,6688.0,1.49,4.24,18.1339264
110,EPIC 211858489.01,0.0,0.636109,34.54694594594594,0.1465,6100.77,1.66,4.06,18.1351672
111,EPIC 211919842.01,0.0,9.510911,46.615540540540536,0.7834,3941.0,0.78,4.44,19.0224447
112,EPIC 211955798.01,0.0,0.616444,38.163810810810816,0.5674,4937.26,0.75,4.6,19.562251
113,EPIC 211964001.01,0.0,7.218071,50.20605405405404,3.2035,6727.06,1.67,4.15,19.6864229
114,EPIC 211964025.01,0.0,7.219626,50.179135135135134,3.1796,8075.0,2.56,3.91,19.6866788
115,EPIC 211964555.01,0.0,7.220943,43.38256756756757,3.4667,3092.0,0.29,4.93,19.6943963
116,EPIC 211970234.01,0.0,1.4835,1.41,3.829762162162162,3200.0,0.32,4.91,19.7801355
117,EPIC 212010565.01,0.0,2.851451,36.992459459459454,99.2969,7137.0,2.22,3.95,20.4303139
118,EPIC 212026226.01,0.0,1.769505,45.43229729729729,17.6962,5988.0,1.17,4.34,20.690312
119,EPIC 212044495.01,0.0,1.830767,26.00678378378378,15.7032,6141.42,0.99,4.51,21.0025648
120,EPIC 212048503.01,0.0,0.617674,32.94824324324324,59.8171,5271.68,1.1,4.31,21.0715037
121,EPIC 212053988.01,0.0,0.579309,42.247432432432426,47.1689,4888.0,1.0,4.34,21.1694877
122,EPIC 212060895.01,0.0,0.604228,45.93608108108107,19.626,5618.903513513514,2.3691891891891896,4.38918918918919,21.2909949
123,EPIC 212066805.01,0.0,0.816734,45.027162162162156,0.5075,6318.08,1.8,4.03,21.3980052
124,EPIC 212075294.01,0.0,0.55082,42.2431081081081,31.9979,5597.525135135135,2.391621621621622,4.372702702702703,21.5530829
125,EPIC 212075842.01,0.0,1.153456,46.724783783783785,12.8377,5378.01,2.97,4.309729729729729,21.562908
126,EPIC 212085654.01,0.0,0.98972,32.54337837837838,16.8919,5424.29,1.14,4.3,21.7455039
127,EPIC 212086717.01,0.0,0.643142,45.84786486486487,45.0377,5412.54,1.05,4.37,21.7652377
128,EPIC 212109233.01,0.0,1.991357,26.031567567567564,9.6349,6118.76,1.26,4.3,22.2030123
129,EPIC 212115388.01,0.0,1.488249,43.29202702702702,4.8367,4080.0,0.98,4.26,22.3253253
130,EPIC 212154158.01,0.0,1.023613,38.17748648648649,1.101,6658.58,2.97,3.64,23.1235964
131,EPIC 212175087.01,0.0,0.699705,36.86037837837838,24.4959,6804.44,2.1,3.96,23.6101958
132,EPIC 212181307.01,0.0,0.555317,45.067702702702704,41.6594,5295.0,1.08,4.33,23.7715847
133,EPIC 212181460.01,0.0,0.569192,46.76470270270271,27.6502,6510.0,1.52,4.2,23.7750461
134,EPIC 212182233.01,0.0,0.751394,46.615540540540536,62.8169,5480.0,1.27,4.21,23.7965421
135,EPIC 212207194.01,0.0,9.148701,38.15427027027026,11.97,6072.0,1.82,3.97,24.5120206
136,EPIC 212208163.01,0.0,2.724469,42.470054054054046,66.5629,6707.0,1.6,4.18,24.5424323
137,EPIC 212210390.01,0.0,12.886147,40.75905405405405,6.2814,5033.0,0.81,4.55,24.6172215
138,EPIC 212214592.01,0.0,0.723102,35.0202972972973,5.8108,5897.77,1.19,4.32,24.7569414
139,EPIC 212221986.01,0.0,0.526018,45.98445945945945,23.6909,3614.0,0.67,4.59,25.0205528
140,EPIC 212225413.01,0.0,0.793048,37.59821621621621,20.04,5459.0,1.76,3.92,25.1656263
