,Unnamed: 0,pl_name,hd_name,hip_name,tic_id,disposition,sy_snum,sy_pnum,rv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w3mag,sy_w4mag,sy_icmag,sy_kepmag,k2_campaigns,lc_amplitude,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
200,200,EPIC 202071645.01,,,TIC 306689250,0,1.0,0.0,0.0,23.7782,,98.0,,,,,,,,,,,,,,,2456802.7462,0.0,,,5.0712,,0.44,,,,,,,7498.0,2.09,,,,,4.03,,,,,,17.7011893,3.64061,194.88903,-5.53754,97.43938,6.9978725,-5.25139,-4.62527,401.292,2.46581,10.642,10.411,,,,,,9.815,9.770001,8.076,,10.4,0.0,444833.75,415089.84375,0.0,876035.0625,876035.0625,1.1107986501687288,0.10517990606734537,3.700207894163426e+22,437298.21875
231,231,EPIC 202126849.01,,,TIC 284326455,0,1.0,1.0,0.0,3.7999139,,10.8,,,,,,,,,,,,,,,2456774.286,0.0,0.72,2.4,1.76,,0.1567,,,,,,,4171.0,0.64,,,,,,,,,,,25.4824005,8.89777,188.78409,2.34958,98.93436,33.2370806,-0.0732176,-33.237,143.651,6.93252,14.832,13.398,,,,,,10.282,10.195,8.677,,13.6,0.0,43688.83203125,40789.09375,0.0,86030.9921875,86030.9921875,1.1107986501687288,0.10526255865363143,3.450724609920336e+18,42972.0859375
236,236,EPIC 202126887.01,,,TIC 87270008,0,1.0,0.0,0.0,12.866539,,22.3,,,,,,,,,,,,,,,2456777.241,0.0,0.85,3.01,3.02,,0.1905,,,,,,,6066.0,1.18,,,,,,,,,,,26.7864507,9.04941,187.39105,3.61974,98.38313,15.6351635,6.16688,-14.3676,760.324,1.2871,13.558,13.12,14.773,13.7657,13.1949,12.9977,13.0184,11.413,10.921,8.098,,13.0,0.0,38780.83984375,36173.578125,0.0,76345.7734375,76345.7734375,1.1107986501687288,0.10518686804200043,2.134171585844609e+18,38109.0234375
239,239,EPIC 202126888.01,,,TIC 86543926,0,1.0,0.0,0.0,1.84617,,2.14,,,,,,,,,,,,,,,2456767.9376,0.0,,,3.0,,0.0947,,,,,,,3252.0,0.21,,,,,5.08,,,,,,27.2197459,8.17397,186.46851,3.98051,97.16876,8.553873,2.73549,-8.10468,1120.21,0.864342,,13.601,,,,,,12.095,11.945,8.851,,13.5,0.0,34687.05078125,28174.044921875,0.0,59383.5078125,59383.5078125,1.1107986501687288,0.10591678761891048,7.866399590952468e+17,29685.02734375
261,261,EPIC 202963882.01,,,TIC 68406313,0,1.0,0.0,0.0,0.6308,,,,,,,,,,,,,,,,,2456893.2333,0.0,,5.52,,,,,,,,,,,,,,,,,,,,,,-27.734057,16.80961,348.42356,-6.45081,246.43215,20.5905529,-8.04208,-18.9551,,,16.646,15.469,,,,,,9.462,9.0,8.353,,13.825,2.0,3607.498046875,40987.9296875,,,,0.4342254052016585,,,1108.4273681640625
274,274,EPIC 203476597.01,,,TIC 98690271,0,1.0,0.0,0.0,1.4408,,,,,,,,,,,,,,,,,2456892.93824,0.0,,1.64,,,,,,,,,,4154.0,1.59,,,,,,,,,,,-26.0104676,15.92154,351.74224,-4.27435,248.93131,28.0298167,-14.8395,-23.7794,157.614,6.31619,14.533,12.892,,,,,,8.161,8.23,7.757,,9.575,2.0,16491.3125,286424.4375,,,,0.8461911693352742,,,6045.447265625
275,275,EPIC 203485624.01,,,TIC 98170399,0,1.0,0.0,0.0,0.841202,,82.0,,,,,,,,,,,,,,,2456894.5837,0.0,,,0.0,,0.333,,,,,,,6237.0,2.31,,,,,3.85,,,,,,-25.9805673,17.47781,350.2939,-4.59196,246.86468,11.1016349,-3.83991,-10.4164,523.657,1.88195,13.431,12.949,,,,,,9.739,9.74,8.647,,12.354,2.0,27629.96484375,168308.703125,,,,0.6337483898668956,,,15659.4248046875
279,279,EPIC 203581469.01,,,TIC 392396566,0,1.0,0.0,0.0,22.7984,,9.0,,,,,,,,,,,,,,,2456915.2749,0.0,,,2.1288,,0.056,,,,,,,6195.0,1.37,,,,,4.18,,,,,,-25.6524338,16.31144,351.87904,-3.95332,248.67329,11.4592994,-0.568278,-11.4452,,,16.182,15.035,,,,,,11.318,11.045,8.395001,,14.674,2.0,501.8701171875,22291.041015625,,,,1.2284710017574691,,,30.49651527404785
283,283,EPIC 203692610.01,,,TIC 68131578,0,1.0,0.0,0.0,1.8204,,,,,,,,,,,,,,,,,2456893.29525,0.0,,0.5,,,,,,,,,,3112.0,0.51,0.51,,,-1.651,4.73,,5.3147,,,,-25.2672637,18.97498,349.8277,-4.1382,245.36645,25.1629768,-11.2313,-22.5174,161.737,6.15729,18.971,,,,,,,11.452,11.169,8.995,,15.092,2.0,597.717041015625,6459.52734375,,,,0.4628988850442138,,,111.24481201171875
284,284,EPIC 203710387.01,,,TIC 98093602,0,1.0,0.0,0.0,2.809,,,,,,,,,,,,,,,,,2456894.71338,0.0,,4.73,,,,,,,,,,2901.0,0.47,0.47,,,-1.843,4.76,,6.2357,,,,-25.2057083,18.03714,350.85853,-3.83586,246.69013,24.5084449,-12.1594,-21.2794,166.168,5.99516,20.326,,,,,,,11.748,11.559,8.846,,14.268,2.0,207.8040771484375,2595.096923828125,,,,0.874384236453202,,,42.0802001953125
291,291,EPIC 203823381.01,,,TIC 175744910,0,1.0,0.0,0.0,8.2766395,,0.724,,,,,,,,,,,,,,,2456901.895,0.0,0.77,0.371,2.44,,0.06088,,,,,,,2586.0,0.11,,,,,,,,,,,-24.7987348,16.28748,353.08918,-2.9861,249.31802,20.6011531,-5.64977,-19.8113,,,18.771,14.802,,,,,,10.398,10.497,8.089,,13.468,2.0,760465.0,7144.72216796875,,,,542.5714285714286,,,26690.908203125
294,294,EPIC 203849738.01,,,TIC 68045555,0,1.0,0.0,0.0,0.6199,,,,,,,,,,,,,,,,,2456894.6,0.0,,2.52,,,,,,,,,,2978.0,0.6,0.59,,,-1.598,4.65,,3.8885,,,,-24.6983209,19.4757,350.15306,-3.60583,245.1175,28.2885138,-11.8706,-25.6774,147.465,6.75538,18.862,,,,,,,10.771,10.402,8.357,,14.39,2.0,1216.951416015625,8397.978515625,,,,0.8119047619047619,,,122.7507095336914
297,297,EPIC 203868608.01,,,TIC 98231712,0,1.0,0.0,0.0,4.5417,,,,,,,,,,,,,,,,,2456893.76827,0.0,,7.19,,,,,,,,,,2897.0,0.64,0.62,,,-1.583,4.62,,3.312,,,,-24.6219639,18.30144,351.43904,-3.22931,246.76892,21.5285133,-7.7647,-20.0795,,,19.317,,,,,,,10.535,10.15,8.638,,13.324,2.0,1131.4990234375,7219.11376953125,,,,0.33181659082954146,,,149.67147827148438
302,302,EPIC 204043888.01,,,TIC 191097398,0,1.0,0.0,0.0,1.486243,,58.0,,,,,,,,,,,,,,,2456894.1967,0.0,,,3.19488,,0.28,,,,,,,5991.0,1.87,,,,,3.98,,,,,,-23.8914989,13.28156,356.88022,-1.44503,253.804,18.2912478,8.34362,-16.2774,809.464,1.21055,18.113,16.471,,,,,,11.525,11.543,8.308,,15.218,2.0,464.253662109375,7963.5712890625,,,,0.8939771030363365,,,129.19532775878906
307,307,EPIC 204143627.01,,,TIC 49585759,0,1.0,0.0,0.0,1.124,,,,,,,,,,,,,,,,,2456893.72681,0.0,,0.62,,,,,,,,,,3074.0,0.51,0.5,,,-1.687,4.73,,5.4957,,,,-23.4935346,19.29067,352.096,-2.17064,246.27383,26.1897651,-10.904,-23.8119,138.15,7.21387,18.873,17.185,,,,,,11.169,11.037,8.412,,14.757,2.0,1039.779052734375,6612.96435546875,,,,0.8435077519379846,,,79.27542114257812
