,pl_name,kepid,disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,pl_orbper,koi_time0,pl_imppar,pl_trandur,pl_trandep,pl_ratror,pl_dens,pl_rade,pl_orbincl,pl_eqt,pl_insol,pl_ratdor,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,sy_pnum,koi_num_transits,koi_quarters,koi_bin_oedp_sig,st_teff,st_logg,st_met,st_rad,st_mass,ra,dec,sy_kepmag,koi_zmag,koi_hmag,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky,lc_amplitude,lc_slope,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
3197,K00467.01,9583881,1.0,0.0,0.0,0.0,0.0,18.00932214,2455015.441,0.55,4.9611,3004.4,0.05176,0.89694,4.96,88.73,658.0,44.29,24.87,0.3928,35.476505,230.01062,245.2,1.0,77.0,1.1111111111111112e+31,0.5038,5815.0,4.54,-0.12,0.877,0.973,290.11963,46.273811,14.794,14.496,13.215,0.0,-0.143,0.038,-0.0014,0.00087,0.065,-0.109,0.127,-0.049,-0.184,0.19,87.4853515625,-0.24773973033632654,19313.77734375,19313.439453125,19319.7509765625,11.8056640625,1.0616352201257861,-0.7076511335301805,194229.609375,10.37863826751709
3198,K00468.01,9589524,1.0,0.0,0.0,0.0,0.0,22.18431824,2455007.597,0.032,3.0397,1593.0,0.035648,7.39065,3.18,89.97,546.0,21.06,57.72,0.4966,14.381554,83.24724,87.6,1.0,58.0,1.1111111111111112e+31,0.1213,5157.0,4.5,-0.08,0.818,0.771,292.44626,46.289768,14.767,14.324,12.831,0.441,0.02,0.06,-0.00026,0.0,0.075,0.057,0.094,-0.102,0.073,0.126,142.365234375,0.4593299813390587,18526.970703125,18526.4140625,18532.345703125,11.2880859375,1.0985915492957747,9.591991553413605,2751022.75,10.362645149230957
3200,K06245.03,11775507,0.0,1.0,0.0,0.0,0.0,276.32360146,2454995.196,0.706,9.8964,81.3,0.008829,0.89833,1.21,89.74,352.0,3.63,153.628388,0.2866,4.93637,7.567676,4.6,3.0,4.0,1.1111111111111112e+31,0.1724,6528.0,4.257,-0.44,1.26,1.046,297.51782,49.917702,12.431,13.670138297872342,10.836,0.001,0.49,-0.93,-0.00013,0.00029,0.2,0.5,0.6,0.2,0.5,0.5,318.75,-4.410636788177849,205973.953125,205971.953125,206011.765625,75.31640625,1.0833333333333333,1.1597439004801757,132045096.0,57.13058090209961
3201,K00082.05,10187017,1.0,0.0,0.0,0.0,0.0,5.28691996,2454968.854,0.705,2.579,41.5,0.006312,0.96999,0.51,86.41,792.0,92.97,11.27,0.5746,4.7495866,13.874478,15.8,6.0,228.0,1.1111111111111112e+31,0.1918,4900.0,4.602,0.08,0.741,0.806,281.48273,47.208031,11.492,11.034,9.446,0.076,0.35,0.2,-4e-05,-2.6e-05,0.74,-1.03,1.27,0.1,-1.5,1.51,6356.765625,22.188354898440565,350294.1875,350266.640625,350493.015625,414.1328125,1.1415571776155717,1.3786403444920357,251787624448.0,275.7201232910156
3202,K00512.01,6838050,1.0,0.0,0.0,0.0,0.0,6.51003001,2455005.916,0.023,3.3095,602.8,0.022098,1.6198,2.78,89.91,1017.0,253.24,15.367,0.4282,5.6683135,40.47481,48.1,1.0,207.0,1.1111111111111112e+31,0.5104,5638.0,4.327,0.32,1.153,1.029,282.11133,42.3545,14.825,14.47,13.179,0.213,-0.39,0.33,-3e-05,-0.00018,-0.143,0.05,0.15,-0.109,0.27,0.29,125.29736328125,0.0033502108612776856,15661.8837890625,15662.1953125,15667.74267578125,11.94091796875,0.9488703923900119,5.489273265681826,1433026.625,10.49673080444336
3203,K00513.01,6937692,1.0,0.0,0.0,0.0,0.0,35.18105723,2455003.1,0.772,7.545,987.7,0.031415,0.2214,4.17,88.18,664.0,45.89,24.4,0.2998,12.038291,50.65838,63.1,1.0,38.0,1.1111111111111112e+31,0.5157,6520.0,4.375,0.07,1.215,1.279,288.23059,42.41362,14.856,14.689,13.568,0.038,0.27,-0.19,-0.00014,0.00028,-0.12,-0.081,0.14,-0.05,-0.02,0.06,39.9873046875,-0.005869275863042007,17696.916015625,17696.58203125,17700.8916015625,8.240234375,1.0878980891719745,0.703651851469227,16482.849609375,6.8215837478637695
3204,K00514.01,7602070,0.0,0.0,1.0,1.0,0.0,11.75560012,2455009.075,1.228,4.7,648.8,0.254375,0.01794,22.39,76.01,716.0,62.19,5.08,0.3858,16.09291,38.851402,46.3,1.0,119.0,1.1111111111111112e+31,0.9764,5644.0,4.575,-0.24,0.806,0.9,290.02872,43.261089,14.356,14.069,12.762,0.0,11.21,-15.06,-0.00627,0.00849,3.332,-4.79,5.835,3.374,-4.755,5.831,68.01953125,-0.4813229960046865,26790.84375,26795.60546875,26808.9208984375,33.802734375,0.7270811380400422,-0.7781027005604864,880996.75,22.75664710998535
3205,K00515.01,7812179,0.0,0.0,1.0,1.0,1.0,17.79421914,2455002.605,1.242,4.1918,1549.4,0.287451,0.08024,25.27,83.53,606.0,31.94,11.03,0.4415,19.806393,103.92036,111.5,1.0,76.0,1.1111111111111112e+31,0.782,5485.0,4.574,-0.12,0.805,0.891,288.02509,43.544579,14.427,14.09,12.72,0.0,-9.35,23.43,0.01439,-0.03641,-2.469,5.502,6.031,-2.619,5.489,6.082,45.349609375,0.0255164025377041,26266.099609375,26266.23046875,26269.958984375,7.439453125,0.9558472553699284,-0.8956463966399423,24215.341796875,6.534348964691162
3206,K07625.01,1868404,0.0,1.0,0.0,0.0,0.0,6.12601169,2454967.836,0.422,1.733,40.2,0.005889,7.57688,0.83,89.02,1141.0,400.49,24.7,0.3719,3.5222924,7.285471,7.0,1.0,218.0,1.1111111111111112e+31,0.4782,5679.0,4.146,-0.3,1.286,0.844,291.48425,37.397282,12.975,12.626,11.478,0.006,1.8,2.6,-7.8e-05,-0.000135,-1.28,-1.6,2.0,-1.17,-1.5,1.9,59.6875,-0.004193945401633333,91270.3828125,91268.94921875,91279.4375,19.568359375,1.1935483870967742,0.7839226147924832,261018.015625,14.856132507324219
3207,K00567.03,7445445,1.0,0.0,0.0,0.0,0.0,29.02235217,2455031.37,0.902,4.0263,637.6,0.027485,0.44605,2.55,88.09,559.0,23.06,27.1,0.3728,9.628829,32.83714,41.4,3.0,43.0,1.1111111111111112e+31,0.0509,5788.0,4.524,-0.34,0.848,0.877,291.9519,43.074711,14.338,14.01,12.752,0.817,-0.45,-0.13,9e-05,1e-05,0.25,-0.15,0.29,0.32,-0.26,0.41,47.986328125,0.24673538974495995,27252.51953125,27252.685546875,27257.5224609375,9.7265625,0.9430604982206405,0.09508070846864067,24616.212890625,7.9244890213012695
3208,K00568.01,7595157,1.0,0.0,0.0,0.0,0.0,3.383540239,2455002.639,0.63,1.403,255.7,0.015341,5.24544,1.65,87.54,1133.0,389.19,14.7,0.5256,4.7437415,24.679447,36.2,2.0,390.0,1.1111111111111112e+31,0.4111,5300.0,4.385,0.18,0.986,0.861,287.29544,43.279869,14.14,13.829,12.496,0.004,-0.03,-0.13,-6.5e-05,0.000152,-0.08,-0.22,0.24,-0.11,-0.12,0.16,85.322265625,0.013222759874276922,34449.23046875,34449.10546875,34453.08984375,8.2578125,1.037313432835821,5.336277729910861,343752.1875,7.7447590827941895
3209,K00568.02,7595157,1.0,0.0,0.0,0.0,0.0,2.358952404,2454965.69,0.385,1.593,94.1,0.008881,4.01115,0.96,87.91,1278.0,630.43,10.57,0.5256,4.071916,14.349433,17.3,2.0,549.0,1.1111111111111112e+31,0.1346,5300.0,4.385,0.18,0.986,0.861,287.29544,43.279869,14.14,13.829,12.496,0.0,-2.45,-0.56,0.000187,8.9e-05,-0.14,-0.54,0.56,-0.17,-0.44,0.47,85.322265625,0.013222759874276922,34449.23046875,34449.10546875,34453.08984375,8.2578125,1.037313432835821,5.336277729910861,343752.1875,7.7447590827941895
3210,K00569.01,8008206,1.0,0.0,0.0,0.0,0.0,20.72904234,2455018.431,0.559,2.8066,561.7,0.022176,4.96047,1.94,89.34,530.0,18.68,48.3,0.582,5.9007397,25.327707,31.6,2.0,65.0,1.1111111111111112e+31,0.8835,4979.0,4.538,0.16,0.803,0.811,282.46811,43.889912,14.458,14.075,12.587,0.002,0.56,0.81,-0.00034,-0.00035,0.11,-0.02,0.11,0.36,0.15,0.39,47.66015625,-0.0922910764734333,23276.021484375,23277.5390625,23292.1064453125,30.466796875,0.8904267589388697,-0.2744357173133313,256937.359375,18.575294494628906
3211,K00569.02,8008206,1.0,0.0,0.0,0.0,0.0,1.632916419,2454967.55,0.136,1.5599,209.2,0.012892,3.70034,1.13,89.04,1237.0,554.07,8.05,0.582,7.274086,24.889524,31.0,2.0,807.0,1.1111111111111112e+31,0.7618,4979.0,4.538,0.16,0.803,0.811,282.46811,43.889912,14.458,14.075,12.587,0.0,-0.15,1.67,2.1e-05,-0.000276,-0.05,0.04,0.06,0.13,0.21,0.25,47.66015625,-0.0922910764734333,23276.021484375,23277.5390625,23292.1064453125,30.466796875,0.8904267589388697,-0.2744357173133313,256937.359375,18.575294494628906
3213,K00410.01,5449777,0.0,0.0,1.0,0.0,0.0,7.216951388,2455009.283,1.283,1.89082,4284.5,0.360527,0.84086,41.57,84.43,1055.0,292.7,13.23,0.3026,40.235737,304.36368,312.2,1.0,183.0,1.1111111111111112e+31,0.244,6266.0,4.38,-0.4,1.056,0.974,292.24802,40.696049,14.454,14.197,12.993,0.0,-0.098,-0.207,0.00021,0.00067,-0.084,-0.09,0.123,-0.151,-0.149,0.212,298.6328125,0.8383438966768011,23496.603515625,60939.15925241024,60999.42867717337,119.32698740857712,1.000121780429885,0.7963054123240015,4.5976238653931464e+16,32.470359802246094
3214,K00411.01,5478055,0.0,0.0,0.0,1.0,1.0,15.85238672,2455007.227,1.262,5.179,928.5,0.293454,0.02285,32.21,79.17,775.0,85.35,6.72,0.3238,13.546765,33.84296,36.5,1.0,85.0,1.1111111111111112e+31,0.1485,5903.0,4.322,-0.68,1.005,0.772,299.00867,40.662231,14.508,14.195,12.929,0.0,1.98,-7.67,0.00018,0.0065,2.2,-5.24,5.68,3.91,-4.57,6.02,63.40234375,-0.03948778282842087,21306.55078125,21304.876953125,21322.9853515625,34.1943359375,1.1093951093951093,0.3036648712606845,588764.6875,22.06303596496582
3215,K00412.01,5683743,1.0,0.0,0.0,0.0,0.0,4.147021189,2455003.326,0.255,2.8997,3680.7,0.055579,1.54911,7.31,88.7,1258.0,590.84,11.21,0.4035,38.9619,399.7741,421.2,1.0,252.0,1.111011101110111e+31,0.0116,5818.0,4.266,-0.02,1.205,0.977,283.2576,40.990501,14.288,13.989,12.782,0.0,0.007,-0.361,0.00293,-0.00068,-0.7,-0.088,0.71,-0.079,-0.178,0.195,119.35546875,0.013966781088725375,27751.732421875,27753.349609375,27760.5166015625,13.9384765625,0.7854030501089324,-2.7953933952556493,2015290.875,18.079378128051758
3216,K00413.01,5791986,1.0,0.0,0.0,0.0,0.0,15.22895514,2455009.56,0.777,2.5967,1124.8,0.033813,2.33268,3.0,88.54,639.0,39.4,30.6,0.4415,10.9397545,57.036846,63.8,2.0,93.0,1.1111111111111112e+31,0.297,5456.0,4.562,-0.1,0.812,0.878,292.16278,41.023239,14.769,14.395,12.998,0.672,-0.18,0.05,0.00012,-7e-05,0.07,0.14,0.16,0.09,0.02,0.09,828.6474609375,3.104792326114619,19673.685546875,19682.62109375,19714.84375,74.98095703125,0.7750391393360363,-0.17321786222342445,133331112.0,57.511165618896484
3217,K00413.02,5791986,1.0,0.0,0.0,0.0,0.0,24.67458244,2454979.773,0.817,3.2648,650.6,0.026266,1.43079,2.33,88.69,544.0,20.71,35.8,0.4415,6.1907396,25.773003,31.9,2.0,52.0,1.1111111111111112e+31,0.5882,5456.0,4.562,-0.1,0.812,0.878,292.16278,41.023239,14.769,14.395,12.998,0.052,0.06,-0.56,-9e-05,0.00035,-0.08,-0.06,0.1,-0.04,-0.17,0.17,828.6474609375,3.104792326114619,19673.685546875,19682.62109375,19714.84375,74.98095703125,0.7750391393360363,-0.17321786222342445,133331112.0,57.511165618896484
3220,K00470.01,9844088,1.0,0.0,0.0,0.0,0.0,3.750832927,2455004.152,0.001,1.9457,2397.9,0.044422,4.90419,4.61,90.0,1129.0,383.77,15.393,0.4191,18.373272,205.47449,212.5,1.0,286.0,1.111110111011101e+31,0.7352,5776.0,4.512,0.21,0.95,1.068,296.83838,46.6264,14.749,14.433,13.164,0.208,-0.176,-0.127,0.00018,6e-05,-0.026,0.008,0.027,-0.057,0.008,0.058,70.7041015625,-0.19017884352520784,17645.5234375,17645.919921875,17663.060546875,39.2802734375,0.9652278177458034,0.09664551481541753,1116003.875,26.334739685058594
3221,K00471.01,10019643,1.0,0.0,0.0,0.0,0.0,21.34736612,2455004.735,0.885,4.184,630.5,0.027345,0.34883,3.2,87.5,648.0,41.65,20.33,0.4695,7.6772966,39.393997,53.1,2.0,65.0,1.1111111111111112e+31,0.0612,5395.0,4.324,0.16,1.071,0.882,295.00281,46.987331,14.415,14.129,12.85,0.117,-0.02,0.35,-3e-05,-0.0002,-0.04,-0.08,0.09,-0.16,-0.03,0.16,64.115234375,-0.09225096722356912,25436.79296875,25439.693359375,25447.1640625,16.8330078125,0.6966873706004141,-0.7791701164448688,300958.6875,16.754131317138672
