,pl_name,disposition,sy_pnum,pl_orbper,pl_rade,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,dec,sy_kepmag,lc_amplitude,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
115,K2-159 b,1,1.0,12.421078,2.208,1191.221052631579,89.065,0.5485105263157893,12256.216315789474,4.877928631578947,26.135513,0.02439,5419.0,0.83,0.89,-0.1,4.57,-3.5809053,11.729,5538.53125,280663.34375,280756.6875,282007.6171875,2278.6171875,0.8696132596685083,-0.833671779759383,23447291822080.0,1586.713623046875
116,K2-160 b,1,1.0,3.705871,3.178,1276.8,88.254,0.5643926315789473,8935.19514736842,5.176434421052631,14.684713,0.03189,5649.0,0.91,0.98,0.07,4.61,-3.5530888,12.486,1263.61328125,129401.4765625,129331.51953125,129688.169921875,626.703125,1.3581881533101046,0.5544783639735689,172065652736.0,497.5860900878906
117,K2-161 b,1,1.0,9.283188,6.117,1285.3473684210526,87.251,0.5473315789473684,10465.45162105263,4.837485684210526,10.790043,0.02184,4972.0,2.57,0.99,-0.03,3.63,-3.4956913,12.358,945.9765625,155504.75,155519.125,155566.99609375,106.76171875,0.7461300309597523,0.081872595742031,1779664896.0,106.64644622802734
118,K2-162 b,1,1.0,9.45889,1.44,631.0,85.10630526315789,0.41,0.02669,3.0,23.6,0.019,4842.0,0.69,0.75,-0.17,4.63,-1.111479,11.961,2230.8515625,224304.90625,224496.3203125,224593.94140625,628.984375,0.6637168141592921,-0.9066368684801053,610370977792.0,612.1351928710938
119,K2-163 b,1,1.0,6.673117,2.466,1275.4842105263158,88.253,0.5419547368421054,5678.030168421053,4.5153281052631575,15.663288,0.02966,4937.0,0.76,0.83,0.14,4.71,-0.5393421,12.819,872.078125,100243.90625,100249.0234375,100357.287109375,229.513671875,0.9594672843080486,-0.0005301107728875747,6769473024.0,195.08627319335938
120,K2-165 b,1,3.0,2.354992,1.274,1153.7473684210527,87.083,0.5420810526315789,17435.998947368425,5.71707757894737,9.208522,0.01453,5185.0,0.8,0.83,-0.05,4.46,0.968327,11.415,5521.4375,385052.90625,385120.421875,385730.0546875,1259.1328125,0.8979248457655636,-0.10951139083570507,3261108846592.0,949.3789672851562
121,K2-165 c,1,3.0,4.382745,1.554,1153.7473684210527,87.054,0.5420810526315789,17435.998947368425,5.71707757894737,10.510761,0.01773,5185.0,0.8,0.83,-0.05,4.46,0.968327,11.415,5521.4375,385052.90625,385120.421875,385730.0546875,1259.1328125,0.8979248457655636,-0.10951139083570507,3261108846592.0,949.3789672851562
122,K2-165 d,1,3.0,14.101361,2.648,1153.7473684210527,89.002,0.5420810526315789,17435.998947368425,5.71707757894737,27.729097,0.0302,5185.0,0.8,0.83,-0.05,4.46,0.968327,11.415,5521.4375,385052.90625,385120.421875,385730.0546875,1259.1328125,0.8979248457655636,-0.10951139083570507,3261108846592.0,949.3789672851562
123,K2-166 b,1,2.0,8.527219,1.823,1304.7473684210527,87.429,0.5288684210526315,14634.93372631579,4.775118842105264,10.386036,0.01397,5922.0,1.2,1.07,0.05,4.24,2.2823788,11.964,691.3203125,213568.28125,213570.2421875,213591.1171875,46.52734375,0.9129451667608819,-2.6285735124151843,505556896.0,54.50736999511719
124,K2-223 b,1,2.0,0.50557,0.89,1152.6526315789474,89.7,0.5386284210526315,17436.62863157895,5.732411263157896,3.3,0.00801,5859.0,1.0,1.137515789473684,0.19,4.5,-10.2820915,11.325,2349.71875,382233.71875,382146.375,382440.796875,416.40625,1.64375,0.3265854304226214,126925463552.0,381.11334228515625
125,K2-223 c,1,2.0,4.56327,1.57,1091.0,85.10630526315789,0.42,0.02,2.8,11.0,0.0146,5835.0,0.99,1.06,0.12,4.48,-10.2820915,11.325,2349.71875,382233.71875,382146.375,382440.796875,416.40625,1.64375,0.3265854304226214,126925463552.0,381.11334228515625
126,K2-224 b,1,2.0,4.478591,1.664,1256.5684210526315,87.86,0.5700031578947368,7477.49607368421,4.750386,12.272632,0.01816,5614.0,0.84,0.9,-0.22,4.63,-10.0605942,12.482,943.59765625,116558.171875,116550.89453125,116585.220703125,54.97265625,1.4275466284074605,-3.626289496062406,4629979136.0,98.30196380615234
127,K2-225 b,1,1.0,15.871455,2.661,1244.178947368421,88.449,0.536601052631579,14822.207368421055,5.151668631578947,17.971733,0.02017,5733.0,1.21,1.11,0.47,4.26,-9.6248232,11.535,472.953125,314653.0,314655.515625,314693.90625,99.625,0.9347826086956522,0.836100807498108,476147328.0,94.6495361328125
128,K2-226 b,1,1.0,3.271106,1.487,1277.5894736842106,86.719,0.5310263157894738,14413.605305263158,4.8859529473684224,9.218155,0.01654,5397.0,0.82,0.89,-0.08,4.62,-9.5626286,12.042,1474.859375,192264.71875,192247.1171875,192323.96484375,149.05859375,1.3178082191780822,4.798655862961856,40345157632.0,170.28292846679688
129,K2-227 b,1,1.0,13.621832,1.666,1166.9789473684211,88.374,0.5457168421052631,14822.207368421052,5.239416000000001,21.261583,0.01714,5673.0,0.89,0.95,-0.1,4.58,-8.4784159,11.512,4201.140625,327681.40625,327747.828125,327986.875,514.3671875,0.6253602305475504,-1.780782474799053,1579973345280.0,564.9042358398438
130,K2-228 b,1,1.0,2.698368,1.384,1295.1684210526316,87.465,0.55934,8941.162410526316,5.248658631578947,11.406625,0.01816,4764.0,0.7,0.74,-0.13,4.67,-6.8342028,12.66,1196.42578125,123575.1328125,123598.82421875,123659.28125,160.6953125,0.8086584714056654,0.2884980772026719,2554925824.0,112.41372680664062
131,K2-229 b,1,2.0,0.584249,1.164,1960.0,83.9,0.5798010526315789,71569.93789473685,4.588283157894737,41.32222622105263,0.1112190842105263,5185.0,0.79,0.84,-0.06,4.56,-6.7218474,10.955,11704.65625,658599.8125,658206.5625,660787.75,4014.3125,1.2117647058823529,0.1272859640597032,278459322466304.0,2921.310791015625
132,K2-229 c,1,2.0,8.32834,2.12,800.0,87.94,0.5798010526315789,71569.93789473685,4.588283157894737,41.32222622105263,0.1112190842105263,5185.0,0.79,0.84,-0.06,4.56,-6.7218474,10.955,11704.65625,658599.8125,658206.5625,660787.75,4014.3125,1.2117647058823529,0.1272859640597032,278459322466304.0,2921.310791015625
133,K2-230 b,1,1.0,2.86041,1.96,1529.0,84.46810526315788,0.39,0.02,2.6,7.3,0.0129,5945.0,1.39,1.11,0.1,4.2,-6.576051,12.551,1071.3203125,123261.609375,123263.06640625,123275.1640625,30.275390625,0.8894472361809045,11.83082685025483,2434089216.0,50.15800857543945
134,K2-232 b,1,1.0,11.168454,11.209,1030.0,89.14,0.8007136842105262,236848.13999999996,7.762108736842106,19.25,0.08868,6154.0,1.16,1.19,0.1,4.38,18.654323,9.789,9084.8125,1758593.375,1528517.4197368422,1533526.585104852,9092.269983552631,0.10727323785453524,-3.7155442955222804,1.1085407502281092e+20,1659.84619140625
135,K2-233 b,1,3.0,2.46746,1.398,1040.0,88.79,0.2,225561.5042105263,1.969,9.49,0.01721,4950.0,0.74,0.8,0.07,4.71,-20.2317975,10.422,9335.59375,902716.1875,940141.8435238487,944851.7214946547,8127.589391447368,0.8750544188071397,-3.917520031729678,1.2697248754403507e+20,4005.994873046875
136,K2-233 c,1,3.0,7.06142,1.335,728.0,88.95,0.36,225561.5042105263,2.65,19.34,0.01643,4950.0,0.74,0.8,0.07,4.71,-20.2317975,10.422,9335.59375,902716.1875,940141.8435238487,944851.7214946547,8127.589391447368,0.8750544188071397,-3.917520031729678,1.2697248754403507e+20,4005.994873046875
