,pl_name,disposition,sy_pnum,pl_orbper,pl_rade,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,dec,sy_kepmag
133,K2-230 b,1,1.0,2.86041,1.96,1529.0,84.46810526315788,0.39,0.02,2.6,7.3,0.0129,5945.0,1.39,1.11,0.1,4.2,-6.576051,12.551
134,K2-232 b,1,1.0,11.168454,11.209,1030.0,89.14,0.8007136842105262,236848.13999999996,7.762108736842106,19.25,0.08868,6154.0,1.16,1.19,0.1,4.38,18.654323,9.789
135,K2-233 b,1,3.0,2.46746,1.398,1040.0,88.79,0.2,225561.5042105263,1.969,9.49,0.01721,4950.0,0.74,0.8,0.07,4.71,-20.2317975,10.422
136,K2-233 c,1,3.0,7.06142,1.335,728.0,88.95,0.36,225561.5042105263,2.65,19.34,0.01643,4950.0,0.74,0.8,0.07,4.71,-20.2317975,10.422
137,K2-233 d,1,3.0,24.3645,2.358,523.0,89.6,0.32,225561.5042105263,3.838,46.36,0.03062,5033.0,0.71,0.79,-0.09,4.64,-20.2317975,10.422
138,K2-237 b,1,1.0,2.18056,18.495,1884.0,84.3,0.7244263157894736,230076.4157894737,8.364226421052633,5.5,0.118,6257.0,1.43,1.28,0.14,4.24,-28.7105836,11.468
139,K2-238 b,1,1.0,3.20466,14.572,1587.0,84.5,0.6741442105263157,215997.01263157895,7.0379245263157895,6.27,0.08,5630.0,1.59,1.19,0.34,4.11,-7.8575592,13.552
140,K2-239 b,1,3.0,5.24,1.1,502.0,88.99,0.44,0.067,1.4664,24.6,0.0259,3420.0,0.36,0.4,-0.1,4.9,4.4413751,13.545
141,K2-239 c,1,3.0,7.775,1.0,427.0,88.77,0.73,0.058,1.248,34.0,0.0241,3420.0,0.36,0.4,-0.1,4.9,4.4413751,13.545
142,K2-239 d,1,3.0,10.115,1.1,399.0,89.43,0.39,0.065,1.8384,38.8,0.0255,3420.0,0.36,0.4,-0.1,4.9,4.4413751,13.545
143,K2-240 b,1,2.0,6.034,2.0,586.0,89.26,0.28,0.131,2.1528,21.1,0.0362,3810.0,0.54,0.58,-0.1,4.7,-17.8754464,12.666
144,K2-240 c,1,2.0,20.523,1.8,389.0,89.66,0.29,0.098,3.192,48.0,0.0313,3810.0,0.54,0.58,-0.1,4.7,-17.8754464,12.666
145,K2-241 b,1,1.0,26.8199,2.55,507.0,85.12693684210527,0.41,0.09,4.1,43.3,0.0312,5262.0,0.75,0.71,-0.44,4.54,-6.8052985,11.858
146,K2-242 b,1,1.0,6.51389,2.54,416.0,85.92968421052632,0.42,0.624,2.0,22.1,0.0633,3459.0,0.37,0.38,-0.01,4.89,-6.5178542,15.615
147,K2-243 b,1,2.0,11.54182,2.17,1035.0,84.53467368421053,0.39,0.016,3.7,21.2,0.0144,6570.0,1.39,1.29,-0.03,4.26,-4.8991358,10.897
148,K2-243 c,1,2.0,24.94598,2.01,801.0,84.53467368421053,0.4,0.019,5.2,35.6,0.0133,6570.0,1.39,1.29,-0.03,4.26,-4.8991358,10.897
149,K2-244 b,1,1.0,21.070201,1.65,1296.536842105263,89.214,0.5354957894736843,14796.361052631579,5.149453894736842,34.288349,0.01698,5728.0,0.89,1.1245368421052633,-0.2,4.51,-3.8318097,11.696
150,K2-245 b,1,1.0,11.89307,4.34,923.0,84.9480947368421,0.38,0.107,4.2,17.5,0.0317,5793.0,1.25,0.83,-0.45,4.16,-1.5909138,11.998
151,K2-246 b,1,1.0,5.76918,3.49,977.0,80.60421052631578,0.41,0.134,3.4,11.1,0.0341,5610.0,0.94,0.87,-0.19,4.43,-1.1606,14.423
152,K2-247 b,1,2.0,2.25021,2.12,979.0,79.21558947368422,0.43,0.1,1.2,8.7,0.0283,4667.0,0.69,0.74,-0.08,4.63,-10.0692793,14.344
153,K2-247 c,1,2.0,6.49424,2.19,688.0,79.16895789473683,0.41,0.11,1.7,18.2,0.0292,4667.0,0.69,0.74,-0.08,4.63,-10.0692793,14.344
154,K2-248 b,1,1.0,7.17256,2.57,886.0,81.35526315789473,0.4,0.07,2.8,16.2,0.0255,5528.0,0.92,0.88,-0.1,4.45,-9.4141696,13.318
155,K2-249 b,1,1.0,12.409,2.79,1061.0,83.66894736842106,0.41,0.024,5.9,14.5,0.0162,6504.0,1.57,1.32,0.04,4.16,-8.9952309,12.459
156,K2-250 b,1,1.0,4.01457,2.44,958.0,78.90389473684212,0.41,0.102,2.4,12.3,0.0276,5172.0,0.81,0.8,-0.09,4.53,-8.9757427,13.948
157,K2-251 b,1,1.0,9.30075,2.35,437.0,83.972,0.44,0.214,2.7,20.6,0.0437,3717.0,0.49,0.52,-0.04,4.76,-8.5359826,14.806
158,K2-252 b,1,1.0,13.81513,1.74,639.0,84.64810526315789,0.41,0.036,3.6,25.7,0.0193,5152.0,0.82,0.79,-0.09,4.5,-8.3096141,12.64
