,pl_name,tid,disposition,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
5239,696.01,77156829.0,1.0,68.178987,-39.790874,239.41,-967.772,2458411.473627,0.8602406,0.5124345,719.5357708,0.9718795,112.3971391,830.4405814,10.4276,19.8782,3450.0,4.89044,0.33819
5240,696.02,77156829.0,1.0,68.178987,-39.790874,239.41,-967.772,2458411.067517,3.6942604,1.1278521,832.8225921,1.0428407,16.1019503,510.9040793,10.4276,19.8782,3450.0,4.89044,0.33819
5247,700.01,150428135.0,1.0,97.095717,-65.578615,-102.75,161.805,2459303.157062,16.0511407,1.3823927,2836.476041,2.6015337,2.7275553,327.7654256,10.9102,31.1265,3482.0,4.438,0.419457
5248,700.02,150428135.0,1.0,97.095717,-65.578615,-102.75,161.805,2458330.475076,37.4243366,3.28384,735.2368186,1.1446808,0.8822181,247.1802327,10.9102,31.1265,3482.0,4.438,0.419457
5249,700.03,150428135.0,1.0,97.095717,-65.578615,-102.75,161.805,2459349.036881,9.9773135,2.1242267,531.633488,0.9713964,5.1415801,384.0554225,10.9102,31.1265,3482.0,4.438,0.419457
5251,701.01,219239945.0,0.0,64.52165,-53.80127,42.013,36.099,2458389.366552,13.697384,4.783848,1061.94658,4.211945,96.8938034,800.1911623,10.966,217.621,5837.0,4.37713,1.10089
5255,704.01,260004324.0,1.0,91.089986,-55.311538,681.726,342.132,2459319.128775,3.8142936,1.4037983,455.6168189,1.0912411,26.371256,577.966216,10.1428,29.8424,3625.0,4.7833,0.504068
5259,708.01,391821647.0,0.0,82.764859,-70.357179,6.515,23.14,2458325.573663,1.996071,5.910879,352.76672,1.947951,1372.564389,1552.397488,10.8623,214.756,6636.0,4.60452,0.975121
5262,710.01,309402106.0,0.0,124.748703,-65.278089,-13.07,12.778,2458343.942146,216.24584,1.0703729,5045.1950681,18.5681404,312.4351835,1072.2837713,8.488401,157.721,7053.0,4.22463,1.59688
5273,716.01,119081096.0,0.0,136.238912,-18.502674,94.649,-39.417,2458518.10991,0.83707,2.497,2745.5,2.98849,2645.93,1998.0,12.4268,88.8248,3776.0,4.72,0.52
5274,717.01,275248683.0,0.0,147.970536,2.116647,-26.092,62.064,2458518.26617,0.53079,1.238,1113.07,10.15867656756757,977.343,1557.0,11.4407,34.7229,3788.4,4.87,1.3366507162162162
5275,719.01,184952758.0,0.0,128.144178,-36.346818,57.83,-24.55,2458519.89245,4.10553,4.267,310.0,1.7126,897.176,1524.0,9.0349,84.7306,5653.0,4.46,0.97
5276,720.01,131419878.0,0.0,118.037196,-37.799016,-12.175,8.992,2458494.08915,3.16043,1.922,203.33,2.38866,616.95,1388.0,8.8154,151.634,6482.3,4.21,1.52
5281,725.01,410245915.0,0.0,133.964876,-20.274779,-1.1,-5.3,2458518.76226,0.98877,1.65,744.947,2.50979,3360.77,2121.0,10.2658,272.834,6173.3,4.22,0.84
5282,726.01,174143743.0,0.0,113.88333,-36.386962,6.948,39.068,2458492.31313,0.46132,1.32,220.0,1.89253,13156.0,2983.0,10.1007,206.755,6629.0,4.41,1.21
5286,730.01,11561667.0,1.0,149.823667,-27.392817,-24.635,-8.286,2458543.869424,3.0876295,2.217781,41450.2208205,14.0532293,95.8571899,798.0423207,14.9181,436.176,4105.0,4.438,0.69386
5287,731.01,34068865.0,1.0,146.121464,-45.779016,-462.549,-582.814,2459304.837529,0.3219258,0.4991586,366.7299823,1.0276774,586.6138176,1255.1852344,8.031941,9.41263,3518.0,4.82492,0.457751
5288,732.01,36724087.0,1.0,154.644903,-11.717801,-341.409,-247.87,2458543.906648,0.7683904,1.0241242,903.9933214,1.1406447,112.6409067,830.8904817,10.5848,21.9814,3329.0,4.94957,0.374139
5289,732.02,36724087.0,1.0,154.644903,-11.717801,-341.409,-247.87,2458546.849602,12.2521769,1.3819229,2992.6328578,2.0747565,2.8066463,330.1160738,10.5848,21.9814,3329.0,4.94957,0.374139
5292,735.01,150271680.0,0.0,94.754704,-63.864708,31.763,-44.282,2458543.967327,2.593694,3.054429,526.784827,2.980736,4.3241755,367.7863249,9.5215,121.755,5316.6,3.88,1.28725
5293,736.01,181804752.0,1.0,165.690484,-16.406444,-221.078,-58.999,2459285.014805,4.9899032,1.1018343,17472.8884595,2.2835323,2.2410879,312.0573896,13.5571,26.4927,2940.0,5.14315,0.17143
5294,736.02,181804752.0,1.0,165.690484,-16.406444,-221.078,-58.999,2458543.55772,0.9479951,0.5810698,4275.0633227,1.2010731,20.519823,542.8291387,13.5571,26.4927,2940.0,5.14315,0.17143
5295,737.01,219189765.0,1.0,171.014792,-19.556959,-38.857,39.679,2458544.43094,1.7318511,1.6465256,35736.4744802,11.6885026,86.6366705,778.1175092,14.7599,299.389,3394.0,4.9186,0.615219
5300,742.01,373424049.0,0.0,140.056794,-53.119685,2.654,-0.909,2458543.475174,0.963081,2.378514,244.261214,2.727644,23744.773941,3166.006188,8.6333,227.265,8688.0,4.32187,1.68698
5302,744.01,437242640.0,1.0,165.399368,-23.860946,-43.9,-65.794,2459284.74591,4.317685,2.1010015,11458.0068433,14.0391584,425.7131574,1158.5079485,9.7566,132.096,5700.0,4.50578,1.10901
