,pl_name,disposition,sy_pnum,pl_orbper,pl_rade,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,dec,sy_kepmag,lc_amplitude,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
6146,K05329.01,2,1.0,200.2350497,10.99,325.0,89.32,0.674,10812.0,23.612,56.4,0.100988,6108.0,0.997,1.072,-0.08,4.471,42.285831,15.392,51.6650390625,11067.48046875,11067.4130859375,11073.18505859375,11.77978515625,1.011042944785276,0.34039952827258907,38945.109375,9.1524076461792
6148,K05331.01,2,1.0,31.5034587,1.17,484.0,89.96,0.053,210.6,3.315,73.4,0.012966,5269.0,0.823,0.91,0.16,4.567,42.320541,15.164,19.83251953125,12614.0888671875,12613.9970703125,12617.09033203125,6.22412109375,1.0410958904109588,0.22068879170968425,1947.1214599609375,4.821440696716309
6149,K05332.01,2,1.0,22.2381062,1.09,702.0,89.73,0.288,104.2,2.68,61.2,0.009435,6192.0,1.055,1.097,-0.06,4.433,42.322361,14.296,60.2705078125,30220.408203125,30220.01171875,30225.19921875,9.66796875,1.0746835443037974,1.4352912699360936,62856.38671875,7.581374168395996
6150,K05333.01,2,1.0,20.5477769,1.67,690.0,89.95,0.028,253.8,4.634,34.36,0.014482,5922.0,1.057,1.095,0.18,4.429,42.354279,15.529,40.18115234375,8653.7998046875,365099.420754523,366818.898828125,4007.0596011513157,1.0578199052132702,-3.717194659264101,5.195785472583565e+20,4.450515270233154
6164,K05071.01,2,1.0,180.4118581,8.86,329.0,89.75,0.953,4268.0,3.29,215.9,0.083414,6032.0,0.973,1.055,-0.06,4.485,39.631561,15.656,32.256103515625,7563.65966796875,380533.7986328125,382132.49412006576,3567.429420230263,1.053246146660439,-3.9886244221532383,4.885289188993977e+20,4.334540367126465
6170,K05196.01,2,1.0,392.47291,5.46,442.0,89.83,0.761,345.6,7.867,258.0,0.018505,6626.0,2.704,1.426,-0.34,3.728,40.970451,12.361,75.125,164950.296875,164950.5625,164964.73046875,27.29296875,0.9588477366255144,-0.028184584853245456,660871.0,21.35490608215332
6185,K04958.01,2,1.0,581.729006,2.74,308.0,89.95,0.2236,186.7,6.647,660.0,0.01253,5765.0,2.005,1.007,-0.46,3.837,38.005466,12.362,55.1875,168146.359375,168147.375,168158.25390625,26.1640625,0.9349593495934959,0.1546409203876315,340161.96875,18.63866424560547
6189,K05079.01,2,1.0,56.001782,1.54,584.0,89.95,0.5045,125.2,1.706,219.6,0.010573,6116.0,1.332,0.974,-0.32,4.178,39.827278,13.228,44.66015625,74305.4765625,74305.55859375,74310.7265625,10.10546875,0.9833333333333333,0.7891658614848468,60762.14453125,9.219520568847656
6192,K05083.01,2,1.0,69.932459,8.25,812.0,89.95,0.0356,264.4,2.03,266.8,0.014575,5207.0,5.183,1.946,0.04,3.298,39.840069,13.809,100.810546875,44502.5078125,44502.390625,44510.169921875,15.439453125,1.0209617755856966,1.4228011978906583,494436.28125,12.364778518676758
6194,K05202.01,2,1.0,535.93723,1.83,227.0,89.95,0.5968,337.2,11.85,285.0,0.017502,6014.0,0.958,1.043,-0.08,4.494,41.090012,14.679,32.466796875,19089.78515625,19089.541015625,19093.484375,7.7939453125,1.0590452261306533,0.6247065660328085,8618.810546875,6.144052982330322
6197,K05205.01,2,1.0,313.051405,2.91,310.0,89.95,0.2093,594.9,10.969,218.2,0.02246,6218.0,1.185,1.072,-0.06,4.322,41.10894,12.842,32.52734375,103449.1484375,103449.06640625,103455.07421875,12.86328125,1.0084388185654007,0.11516504791717495,37799.93359375,10.466524124145508
6199,K05207.01,2,1.0,18.9828305,0.72,707.0,89.95,0.021,49.1,6.303,23.16,0.006377,5962.0,1.035,1.083,0.1,4.443,41.18961,13.048,33.66015625,84192.1875,84192.484375,84198.439453125,12.751953125,0.896414342629482,-0.07120469189027198,34063.6484375,9.973550796508789
6202,K05320.01,2,1.0,357.437578,3.13,422.0,89.95,0.1427,272.3,15.903,172.62,0.015415,7610.0,1.862,1.693,0.07,4.127,42.1101,13.723,68.083984375,47749.046875,47748.71875,47756.068359375,14.705078125,1.0436408977556109,0.753978696150909,122503.515625,11.190293312072754
6203,K05321.01,2,1.0,215.634356,1.92,404.0,90.0,0.002,148.0,15.097,110.3,0.011192,6163.0,1.568,1.03,-0.32,4.06,42.156315,13.793,66.05078125,66760.5546875,66760.0703125,66768.18359375,15.921875,1.0707964601769913,0.8063048351883716,171212.625,12.455740928649902
6204,K05322.01,2,1.0,30.928898,8.1,1051.0,88.81,0.7846,203.3,3.436,44.2,0.014471,5029.0,5.127,1.653,0.0,3.237,42.276588,13.907,82.865234375,39555.08203125,39555.05859375,39561.91015625,14.28125,1.0012210012210012,1.0977058808206992,253319.765625,11.917840957641602
6206,K05324.01,2,1.0,293.392635,6.84,428.0,89.95,0.1322,518.8,3.661,620.0,0.020508,5203.0,3.055,1.051,-0.5,3.489,42.208721,13.705,175.14453125,48640.0390625,48639.625,48650.541015625,20.748046875,1.0385572139303483,3.569752445443403,5092160.0,16.599531173706055
6209,K05327.01,2,1.0,5.43361347,2.09,548.0,89.67,0.234,1421.0,1.0338,40.44,0.033746,3694.0,0.566,0.567,0.56,4.686,42.214169,15.808,85.4580078125,6752.2421875,691882.6592310856,694034.0462530839,4370.542038445724,1.0937912813738442,-3.7661692957785475,8.721393609708528e+19,5.207906723022461
6210,K04961.01,2,1.0,348.96347,2.04,198.0,89.95,0.6924,585.2,13.84,145.2,0.023531,4823.0,0.792,0.837,0.44,4.564,38.156319,15.325,28.228515625,10564.302734375,10564.279296875,10568.873046875,9.18505859375,1.0036674816625917,0.26223218752492883,8522.26171875,6.889798164367676
6212,K04963.01,2,1.0,59.4037839,1.65,570.0,86.84,0.94,123.5,10.041,17.06,0.012476,6373.0,1.209,0.961,-0.54,4.256,38.231617,11.679,111.6796875,177863.53125,177863.109375,177877.17578125,28.671875,1.03862660944206,0.6363147443834367,1922965.625,23.5419979095459
6216,K04967.01,2,1.0,43.581043,1.94,558.0,89.67,0.277,348.7,6.883,47.4,0.017259,6225.0,1.031,1.091,-0.12,4.45,38.394341,15.63,30.4189453125,7255.97216796875,698833.2362870065,702698.4478515625,6612.7059930098685,1.051984877126654,-3.7903217000382483,4.412049919596707e+19,6.4738240242004395
6217,K05085.01,2,1.0,327.063,2.82,248.0,89.95,0.3983,1006.0,8.06,294.0,0.02929,5750.0,0.882,0.98,-0.04,4.538,39.824638,15.941,21.567626953125,5689.2705078125,5689.046875,5693.35693359375,8.620849609375,1.0538847117794485,0.16222797973289765,6033.22998046875,6.774900913238525
6219,K05087.01,2,1.0,651.07431,1.55,234.0,89.95,0.0343,153.7,5.603,897.0,0.011226,5696.0,1.261,0.959,0.04,4.218,39.88802,12.524,71.859375,134613.296875,134612.9453125,134621.1171875,16.29296875,1.0429184549356223,0.9574067862173756,397949.6875,14.585142135620117
6220,K05088.01,2,1.0,49.1782244,1.79,468.0,89.71,0.315,449.0,5.8,62.8,0.019512,5674.0,0.839,0.764,-0.54,4.473,39.964279,15.527,117.345703125,7273.37548828125,380654.4053042763,382811.46613384044,4743.103762335526,1.0597722960151803,-3.8290028327707937,5.481719885620937e+20,6.465742588043213
6224,K05092.01,2,1.0,271.790292,2.38,354.0,89.95,0.0142,318.4,2.944,717.0,0.016478,6484.0,1.32,1.151,-0.22,4.258,39.955681,13.887,89.400390625,41467.015625,41467.984375,41493.3828125,52.89453125,0.9723225030084236,-0.12958171507181013,2996705.75,33.87925720214844
6225,K05211.01,2,1.0,3.5645249,0.6,1029.0,89.18,0.188,53.9,2.062,13.07,0.006634,5435.0,0.824,0.937,0.07,4.578,41.289101,12.936,886.47265625,102497.6171875,102657.3203125,102881.0,703.7578125,0.7122302158273381,-0.6771943834228625,153769197568.0,510.2808837890625
6227,K05213.01,2,1.0,48.2455501,0.64,449.0,89.95,0.3106,60.5,1.375,257.0,0.007137,5441.0,0.827,0.756,-0.36,4.481,41.250359,12.429,43.5,163830.4375,163830.1484375,163837.734375,15.61328125,1.025531914893617,0.16726179272556901,74125.546875,11.903402328491211
6230,K05216.01,2,1.0,377.311149,2.56,243.0,89.95,0.3818,804.0,3.33,825.0,0.026277,5897.0,0.891,0.983,-0.16,4.531,41.290939,15.495,34.83935546875,9397.638671875,9397.9208984375,9402.15478515625,9.05810546875,0.935064935064935,0.10136586342304457,8319.9765625,6.635715007781982
6231,K05336.01,2,1.0,265.741374,3.24,413.0,89.57,0.652,273.4,18.078,87.5,0.015977,6537.0,1.859,1.397,-0.02,4.044,42.42091,13.491,49.5,63088.203125,63087.998046875,63093.685546875,10.7607421875,1.0517241379310345,0.7321397720650693,63147.9921875,9.07796859741211
6232,K05337.01,2,1.0,470.65357,2.99,238.0,89.95,0.1585,985.0,3.458,1057.0,0.028801,6039.0,0.951,1.027,-0.14,4.493,42.446758,15.07,284.0224609375,14222.6865234375,14221.900390625,14268.98193359375,90.49658203125,1.0184729064039408,0.3428586149106989,46427764.0,57.71027374267578
6236,K05341.01,2,1.0,15.18575582,2.26,922.0,89.84,0.474,256.7,0.633,164.5,0.015424,6311.0,1.339,1.05,-0.28,4.207,42.545509,12.493,567.7890625,139167.21875,139191.578125,139459.56640625,574.3828125,0.8814229249011858,-0.08828671318338857,14467736576.0,303.4512939453125
6241,K04972.01,2,1.0,26.092284,1.35,717.0,89.87,0.068,122.4,6.623,30.34,0.010161,6346.0,1.214,1.241,0.14,4.362,38.438339,13.98,31.208984375,36010.0390625,36009.85546875,36015.08203125,10.05078125,1.04875,0.13913229463209964,12739.8525390625,7.784623622894287
6244,K04975.01,2,1.0,47.0628978,4.1,483.0,89.69,0.819,1647.0,1.545,150.0,0.04181,5838.0,0.897,0.992,-0.08,4.529,38.404549,15.706,28.144775390625,7054.5078125,364422.4951274671,366434.30788445723,4486.177482524671,1.0578199052132702,-4.243280837033294,5.6024717750904186e+20,5.558324337005615
6250,K05098.01,2,1.0,100.345648,1.57,325.0,89.63,0.54,372.3,7.939,83.3,0.018008,5180.0,0.8,0.825,0.0,4.548,40.09639,14.855,60.322265625,16305.3408203125,16305.041015625,16310.138671875,9.40380859375,1.0799492385786802,0.982743132255702,48010.8046875,7.688263416290283
