,pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
81,HATS-59 b,5.416081,0.06112,12.621,1.126,256.17098,0.806,0.129,1128.0,5670.0,1.04,1.04,0.18,4.42
82,HATS-60 b,3.560829,0.04708,12.924,1.153,210.40346,0.662,0.191,1528.0,5688.0,1.46,1.1,0.335,4.15
83,HATS-61 b,7.817953,0.07908,13.395,1.195,1080.622,3.4,0.092,1226.0,5542.0,1.66,1.08,0.247,4.03
84,HATS-62 b,3.2768837,0.04163,11.825,1.055,56.89157,0.179,0.298,1237.0,5416.0,0.93,0.9,0.133,4.45
85,HATS-63 b,3.0566527,0.04026,13.529,1.207,305.1168,0.96,0.136,1398.0,5627.0,1.07,0.93,0.081,4.35
86,HATS-64 b,4.908897,0.06562,18.82,1.679,305.1168,0.96,0.151,1793.0,6554.0,2.11,1.56,0.22,3.98
87,HATS-65 b,3.105161,0.04497,16.825,1.501,260.93843,0.821,0.062,1634.0,6277.0,1.31,1.26,0.199,4.3
88,HATS-67 b,1.6091788,0.03032,18.887,1.685,460.8535,1.45,0.057,2193.0,6594.0,1.44,1.44,0.332,4.28
89,HATS-69 b,2.2252577,0.03211,10.593,0.945,183.38791,0.577,0.519,1296.0,5137.0,0.88,0.89,0.377,4.5
90,HATS-7 b,3.185315,0.04012,6.311,0.563,38.1396,0.12,0.17,1084.0,4985.0,0.81,0.85,0.25,4.54
91,HATS-74 A b,1.73185606,0.02384,11.568,1.032,464.02947,1.46,0.044,895.0,3776.9,0.58,0.6,0.514,4.7
92,HATS-75 b,2.7886556,0.032742,9.909,0.884,156.05375,0.491,0.064,772.0,3790.4,0.58,0.6,0.522,4.68
93,HATS-77 b,3.0876262,0.03607,13.058,1.165,436.69623,1.374,0.045,828.0,4071.0,0.64,0.66,0.253,4.64
94,HD 106315 c,21.05704,0.1536,4.35,0.388,15.2,0.04782,0.22,886.0,6327.0,1.3,1.09,-0.311,4.25
95,HD 136352 c,27.5909,0.1729,2.608,0.233,11.29,0.03552,0.037,682.0,5850.0,1.01,0.91,-0.25,4.38
96,HD 136352 d,107.245,0.425,2.562,0.229,8.82,0.02775,0.0,431.0,5664.0,1.06,0.87,-0.24,4.39
97,HD 137496 b,1.62116,0.02732,1.31,0.117,4.04,0.01271,0.0,2130.0,5799.0,1.59,1.04,-0.03,4.05
98,HD 15337 c,17.1784,0.1268,2.39,0.213,8.11,0.02552,0.05,642.0,5125.0,0.86,0.9,0.15,4.53
99,HD 183579 b,17.471278,0.1334,3.55,0.317,19.7,0.06198,0.28,769.0,5788.0,0.98,1.03,-0.023,4.5
100,HD 189733 b,2.218577,0.03106,12.543,1.119,370.58978,1.166,0.04872222222222222,1209.0,5050.0,0.77,0.81,-0.03,4.58
101,HD 209458 b,3.524746,0.04707,15.233,1.359,217.704,0.685,0.03227777777777777,1449.0,6065.0,1.16,1.12,0.0,4.36
102,HD 260655 b,2.76953,0.02933,1.24,0.111,2.14,0.00673,0.039,709.0,3803.0,0.44,0.44,-0.43,5.2
103,HD 260655 c,5.70588,0.04749,1.533,0.137,3.09,0.00972,0.038,557.0,3803.0,0.44,0.44,-0.43,5.2
104,HD 2685 b,4.12688,0.0568,16.141,1.44,371.8611,1.17,0.091,2061.0,6801.0,1.56,1.43,0.02,4.21
105,HD 28109 b,22.89104,0.1357,2.199,0.196,18.496,0.05819,0.3307,881.0,6120.0,1.45,1.26,0.0,4.13
106,HD 28109 c,56.00819,0.308,4.23,0.377,7.943,0.02499,0.1203,585.0,6120.0,1.45,1.26,0.0,4.13
107,HD 28109 d,84.25999,0.411,3.25,0.29,5.681,0.01787,0.0864,506.0,6120.0,1.45,1.26,0.0,4.13
108,HD 3167 c,29.84622,0.1806,2.74,0.244,8.33,0.02621,0.05,548.0,5286.0,0.83,0.88,0.03,4.51
109,HD 63935 c,21.4023,0.1624061111111111,2.9,0.259,11.1,0.03492,0.0,684.0,5534.0,0.96,0.93,0.07,4.38
110,HD 73583 b,6.398042,0.0604,2.79,0.249,10.2,0.03209,0.09,714.0,4511.0,0.65,0.73,0.0,4.62
111,HD 73583 c,18.87974,0.1242,2.39,0.213,9.7,0.03052,0.08,498.0,4511.0,0.65,0.73,0.0,4.62
112,HD 86226 c,3.98442,0.049,2.16,0.193,7.25,0.02281,0.075,1311.0,5863.0,1.05,1.02,0.018,4.4
113,HD 89345 b,11.8143,0.1115,7.263,0.648,38.45743,0.121,0.22,1068.0,5622.0,1.73,1.32,0.436,4.08
114,HIP 75056 A b,47000.0,30.0,22.418,2.0,7945.71018,25.0,0.5,2300.0,6047.111111111111,1.401111111111111,1.92,-0.004722222222222221,4.1994444444444445
115,HIP 94235 b,7.713057,0.0787,3.0,0.268,379.0,1.19247,0.32,1060.0,5991.0,1.08,1.09,0.0,4.46
116,HIP 97166 b,10.28891,0.089,2.74,0.244,20.0,0.06293,0.16,757.0,5198.0,0.84,0.9,0.27,4.41
117,K2-111 b,5.35117,0.0621,1.9,0.17,8.6,0.02706,0.0,1309.0,5730.0,1.23,0.88,-0.53,4.15
118,K2-115 b,20.273034,0.1367,12.498,1.115,266.9772,0.84,0.137,682.0,5560.0,0.88,0.83,-0.22,4.46
119,K2-137 b,0.179715,0.0058,0.89,0.079,158.915,0.5,0.0,1471.0,3492.0,0.44,0.46,0.08,4.82
120,K2-229 c,8.32834,0.07577,2.12,0.189,21.3,0.06702,0.0,800.0,5185.0,0.79,0.84,-0.06,4.56
121,K2-232 b,11.168459,0.0991,11.859,1.058,123.00021,0.387,0.255,1001.0,5888.0,1.23,1.04,0.051,4.27
122,K2-233 b,2.4675,0.03308,1.343,0.12,11.26,0.03543,0.079,1121.0,5033.0,0.71,0.79,-0.09,4.64
123,K2-233 c,7.06005,0.06666,1.281,0.114,12.81,0.0403,0.2002,790.0,5033.0,0.71,0.79,-0.09,4.64
124,K2-238 b,3.20466,0.046,14.572,1.3,273.3338,0.86,0.0,1587.0,5630.0,1.59,1.19,0.34,4.11
125,K2-261 b,11.63344,0.102,9.528,0.85,70.87609,0.223,0.39,1080.0,5537.0,1.65,1.1,0.36,4.21
126,K2-266 b,0.658524,0.01306,3.3,0.294,11.26782,0.03545,0.03883333333333334,1515.0,4285.0,0.7,0.69,-0.12,4.58
127,K2-266 c,7.814,0.0679,0.705,0.063,0.29013,0.00091,0.042,664.0,4285.0,0.7,0.69,-0.12,4.58
128,K2-266 d,14.697,0.1035,2.93,0.261,8.9,0.028,0.047,538.0,4285.0,0.7,0.69,-0.12,4.58
129,K2-266 e,19.482,0.1249,2.73,0.244,14.3,0.04499,0.043,490.0,4285.0,0.7,0.69,-0.12,4.58
130,K2-285 b,3.471745,0.03817,2.59,0.231,9.68,0.03046,0.0,1089.0,4975.0,0.79,0.83,0.0,4.4
131,K2-285 c,7.138048,0.0824,3.53,0.315,15.68,0.04933,0.0,741.0,4975.0,0.79,0.83,0.0,4.4
132,K2-285 d,10.45582,0.1178,2.48,0.221,6.5,0.02045,0.0,620.0,4975.0,0.79,0.83,0.0,4.4
133,K2-285 e,14.76289,0.18041,1.95,0.174,10.7,0.03367,0.0,501.0,4975.0,0.79,0.83,0.0,4.4
134,K2-287 b,14.893291,0.1206,9.494,0.847,100.11645,0.315,0.478,804.0,5695.0,1.07,1.06,0.2,4.4
135,K2-290 b,9.21165,0.0923,3.06,0.273,10.9,0.0343,0.0,1230.0,6302.0,1.51,1.19,-0.06,4.23
136,K2-290 c,48.36685,0.305,11.276,1.006,246.00042,0.774,0.0,676.0,6302.0,1.51,1.19,-0.06,4.23
137,K2-292 b,16.9841,0.13,2.63,0.235,24.5,0.07709,0.04,795.0,5725.0,1.09,1.0,0.07,4.33
138,K2-329 b,12.4551225,0.1016,8.676,0.774,82.6358,0.26,0.0697,650.0,5282.0,0.82,0.9,0.098,4.57
139,K2-36 c,5.340888,0.054,3.2,0.285,7.8,0.02454,0.0,788.0,4916.0,0.72,0.79,-0.09,4.62
140,K2-38 c,10.56103,0.0964,2.42,0.216,9.9,0.03115,0.16666666666666666,858.0,5757.0,1.1,1.07,0.28,4.35
141,KELT-10 b,4.1662739,0.0525,15.681,1.399,215.80657,0.679,0.07355555555555554,1377.0,5948.0,1.21,1.11,0.09,4.32
142,KELT-17 b,3.0801716,0.04881,17.094,1.525,416.3573,1.31,0.027677777777777777,2087.0,7454.0,1.65,1.64,-0.018,4.22
143,KELT-19 A b,4.6117093,0.0637,21.409,1.91,1293.5681,4.07,0.028511111111111112,1935.0,7500.0,1.83,1.62,-0.12,4.13
144,KELT-20 b,3.474119,0.057,20.512,1.83,5403.11,17.0,0.0,2260.0,8980.0,1.6,1.89,-0.02,4.31
145,KELT-21 b,3.6127647,0.05224,17.777,1.586,1242.7153,3.91,0.0,2051.0,7598.0,1.64,1.46,-0.405,4.17
146,KELT-3 b,2.7033904,0.04122,15.076,1.345,469.415,1.477,0.0,1816.0,6306.0,1.47,1.28,0.044,4.21
147,KELT-4 A b,2.9895932,0.04317,19.044,1.699,286.68266,0.902,0.0,1823.0,6206.0,1.6,1.2,-0.116,4.11
148,KELT-8 b,3.24406,0.04571,20.849,1.86,275.55861,0.867,0.035,1675.0,5754.0,1.67,1.21,0.272,4.08
149,KOI-1833 d,7.685,0.08620777777777779,2.58,0.23,11.02,0.03467,0.07,613.0,4413.0,0.67,0.68,-0.042555555555555555,4.572222222222222
150,KOI-3503 b,21.185,0.1636827777777778,1.19,0.106,9.2,0.02895,0.16718888888888891,785.0,6001.0,1.25,0.86,0.04322222222222223,4.309444444444445
151,KOI-3503 c,31.828,0.1752827777777778,1.21,0.108,10.36,0.0326,0.1620222222222222,686.0,6001.0,1.25,0.86,0.053777777777777785,4.305000000000001
152,Kepler-107 e,14.749143,0.12639,2.903,0.259,8.6,0.02706,0.0,955.0,5854.0,1.45,1.24,0.321,4.21
153,Kepler-15 b,4.942782,0.0583,14.448,1.289,221.20968,0.696,0.06294444444444446,1251.0,5595.0,1.25,1.08,0.36,4.28
154,Kepler-1654 b,1047.8356,2.026,9.18,0.819,158.915,0.5,0.26,206.0,5597.0,1.18,1.01,-0.088,4.3
155,Kepler-1661 b,175.06,0.633,3.87,0.345,17.0,0.05349,0.057,243.0,5100.0,0.76,0.84,-0.12,4.66
156,Kepler-17 b,1.4857108,0.02591,14.68,1.31,778.65,2.45,0.011,1570.0,5781.0,1.01,1.04,0.26,4.45
157,Kepler-20 c,10.85409089,0.0949,3.047,0.272,12.75,0.04012,0.16,772.0,5495.0,0.96,0.95,0.07,4.45
158,Kepler-22 b,289.8623,0.849,2.38,0.212,36.0,0.113,0.0,262.0,5518.0,0.98,0.97,-0.29,4.44
159,Kepler-38 b,105.599,0.4632,4.3,0.384,122.0,0.384,0.032,475.0,5623.0,1.75,0.94,-0.11,3.93
160,Kepler-43 b,3.0240933,0.044,12.498,1.115,982.0947,3.09,0.05627777777777779,1603.0,6041.0,1.33,1.24,0.33,4.28
161,Kepler-5 b,3.5484657,0.0538,15.984,1.426,670.93913,2.111,0.07072222222222223,1750.0,6297.0,1.79,1.37,0.04,3.96
162,Kepler-6 b,3.2346996,0.04852,14.617,1.304,212.31044,0.668,0.09961111111111112,1460.0,5647.0,1.39,1.21,0.34,4.24
163,Kepler-8 b,3.52254,0.0483,15.906,1.419,191.643,0.603,0.0,1764.0,6213.0,1.49,1.21,-0.055,4.17
164,Kepler-93 b,4.72673978,0.08337277777777778,1.478,0.132,3.8,0.01196,0.15483333333333332,1037.0,5669.0,0.92,0.91,-0.18,4.47
165,L 168-9 b,1.4015,0.02091,1.39,0.124,4.6,0.01447,0.21,965.0,3800.0,0.6,0.62,0.04,4.04
166,L 98-59 b,2.2531136,0.02191,0.85,0.076,0.4,0.00126,0.103,627.0,3415.0,0.3,0.27,-0.46,4.86
167,L 98-59 d,7.4512,0.0506,1.57,0.14,2.31,0.00727,0.09,409.0,3412.0,0.31,0.31,-0.5,4.94
168,LHS 1140 b,24.73694,0.0957,1.635,0.146,6.38,0.02007,0.096,379.0,2988.0,0.21,0.19,-0.262,4.857777777777778
169,LHS 1140 c,3.77792,0.02734,1.169,0.104,1.76,0.00554,0.274,709.0,2988.0,0.21,0.19,-0.262,4.858333333333333
170,LHS 1815 b,3.81433,0.0404,1.088,0.097,8.7,0.02737,0.0,617.0,3643.0,0.5,0.5,-0.12,4.77
171,LP 714-47 b,4.052037,0.0417,4.7,0.419,30.8,0.09691,0.04,700.0,3950.0,0.58,0.59,0.41,4.64
172,LTT 1445 A b,5.3587657,0.03813,1.305,0.116,2.87,0.00903,0.11,424.0,3340.0,0.27,0.26,-0.34,4.848333333333334
173,LTT 1445 A c,3.1239035,0.02661,1.147,0.102,1.54,0.00485,0.223,508.0,3340.0,0.27,0.26,-0.34,4.8483333333333345
174,LTT 3780 b,0.768377,0.01203,1.35,0.12,2.34,0.00736,0.064,1000.0,3360.0,0.38,0.38,0.09,4.81
175,LTT 3780 c,12.252131,0.0762,2.42,0.216,6.29,0.01979,0.115,397.0,3360.0,0.38,0.38,0.09,4.81
176,MASCARA-1 b,2.14878,0.043,16.814,1.5,1175.971,3.7,0.0,2570.0,7554.0,2.1,1.72,0.0,4.0
177,MASCARA-4 b,2.82406,0.047,17.15,1.53,985.273,3.1,0.0,2100.0,7800.0,1.92,1.75,0.0,4.1
178,NGTS-10 b,0.7668944,0.0143,13.507,1.205,687.14846,2.162,0.0,1332.0,4600.0,0.7,0.7,-0.02,4.59
179,NGTS-12 b,7.532806,0.0757,11.747,1.048,66.10864,0.208,0.0,1257.0,5690.0,1.59,1.02,-0.03,4.04
180,NGTS-13 b,4.119027,0.0549,12.801,1.142,1538.2972,4.84,0.086,1605.0,5819.0,1.79,1.3,0.25,4.04
181,NGTS-14 A b,3.5357173,0.0403,4.977,0.444,29.24036,0.092,0.0,1143.0,5187.0,0.84,0.9,0.1,4.2
182,NGTS-15 b,3.27623,0.0441,12.33,1.1,238.68913,0.751,0.0,1146.0,5600.0,0.95,0.99,0.15,4.4
183,NGTS-16 b,4.84532,0.0523,14.572,1.3,211.99155,0.667,0.0,1177.0,5550.0,1.21,1.0,0.35,4.35
184,NGTS-17 b,3.24253,0.0391,13.899,1.24,242.8209,0.764,0.0,1457.0,5650.0,1.34,1.02,0.15,4.0
185,NGTS-18 b,3.05125,0.0448,13.563,1.21,129.99182,0.409,0.0,1381.0,5610.0,1.39,1.0,0.15,4.16
186,NGTS-2 b,4.511164,0.063,17.878,1.595,235.1942,0.74,0.0,1468.0,6478.0,1.7,1.64,-0.06,4.2
187,NGTS-20 b,54.18915,0.313,11.994,1.07,947.12865,2.98,0.432,688.0,5980.0,1.78,1.47,0.15,3.8
188,NGTS-4 b,1.3373508,0.019,3.18,0.284,20.6,0.06481,0.0,1650.0,5143.0,0.84,0.75,-0.28,4.5
189,NGTS-5 b,3.3569866,0.0382,12.733,1.136,72.78307,0.229,0.0,952.0,4987.0,0.74,0.66,0.12,4.52
190,NGTS-6 b,0.882059,0.01677,14.863,1.326,425.57437,1.339,0.0,1284.0,4730.0,0.75,0.77,0.11,4.7
191,NGTS-8 b,2.4997,0.035,12.218,1.09,295.5819,0.93,0.01,1345.0,5241.0,0.98,0.89,0.24,4.41
192,NGTS-9 b,4.43527,0.058,11.994,1.07,921.707,2.9,0.06,1448.0,6330.0,1.38,1.34,0.31,4.37
193,OGLE-TR-113 b,1.43247425,0.02265,12.195,1.088,390.9309,1.23,0.04716666666666667,1342.0,4790.0,0.77,0.76,0.09,4.55
194,OGLE-TR-182 b,3.9791,0.05205,16.477,1.47,336.8998,1.06,0.07805555555555556,1550.0,5924.0,1.53,1.19,0.37,4.14
195,OGLE2-TR-L9 b,2.485533,0.0404,18.091,1.614,1379.3822,4.34,0.02523333333333333,2039.0,6933.0,1.5,1.42,-0.05,4.24
196,PH1 b,138.317,0.652,6.18,0.551,169.0,0.531,0.0702,481.0,6407.0,1.73,1.53,0.21,4.14
197,Qatar-1 b,1.42002504,0.02343,13.227,1.18,422.7139,1.33,0.0,1389.0,4910.0,0.8,0.85,0.2,4.55
198,Qatar-3 b,2.5079204,0.03783,12.285,1.096,1369.8473,4.31,0.0,1681.0,6007.0,1.27,1.15,-0.041,4.29
199,Qatar-6 b,3.506195,0.0423,11.904,1.062,212.31044,0.668,0.0,1006.0,5052.0,0.72,0.82,-0.025,4.64
200,Qatar-7 b,2.032046,0.0352,19.055,1.7,597.5204,1.88,0.0,2053.0,6387.0,1.56,1.41,0.276,4.2
