,toi,tfopwg_disp,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
3527,4096.01,CANDIDATE,237.986823,67.039685,-22.247,22.007,2459027.954797,10.1046086,2.788,1760.0,3.67356,39.792,699.0,12.4983,306.261,5053.0,4.46,0.9
3528,4097.01,CANDIDATE,320.233103,83.022778,24.599,-21.36,2459030.833656,2.7741774,2.034,1980.0,3.70897,389.746,1237.0,12.4222,317.929,5636.0,4.61,0.82
3529,4098.01,CANDIDATE,319.351026,79.6107,3.167,18.734,2459033.593822,1.1789805,0.882,1110.0,4.95824,523.513,1332.0,12.0216,425.694,5650.0,4.17,1.37
3530,4099.01,CANDIDATE,294.561939,71.574534,18.269,4.065,2459030.735465,4.3953621,2.299,850.0,2.06335,113.096,908.0,11.9512,177.305,4836.0,4.6,0.73
3531,410.01,FALSE POSITIVE,56.815012,-52.985207,-26.194,-12.788,2459139.77204,1.42744,1.973,450.0,7.86301,28512.6,3620.0,10.0081,223.145,6000.2,4.36,1.33
3532,4100.01,CANDIDATE,288.578982,59.895802,10.756,-9.603,2459608.971247,3.5860069,2.385,2850.0,,474.19,1300.0,12.1308,489.834,6195.0,,
3533,4101.01,CANDIDATE,288.518301,56.626003,-0.62,-12.455,2459032.96437,4.3203233,1.158,3620.0,,81.8646,837.0,12.7584,691.697,6287.0,,
3534,4102.01,FALSE POSITIVE,297.484569,73.086464,9.247,-9.643,2459034.03138,2.6834113,1.146,760.0,2.33576,168.322,1003.0,11.812,185.25,5221.0,4.62,0.76
3535,4103.01,CANDIDATE,289.751203,82.875584,14.219,74.947,2459411.228958,12.2740868,3.552,13920.0,12.4074,50.6941,743.0,11.2056,243.002,5674.0,4.4,1.05
3536,4104.01,CANDIDATE,277.717657,19.796009,0.862,-4.438,2459034.989335,2.3763645,3.387,7270.0,19.2904,2575.92,1984.0,12.9978,1367.43,6676.0,3.9,2.2
3537,4105.01,CANDIDATE,282.204034,65.941643,1.094,-4.958,2459029.458221,5.7152166,2.79,2210.0,10.5071,195.955,1042.0,12.5452,1010.35,5845.0,3.75,2.25
3538,4106.01,CANDIDATE,280.745794,62.818388,5.271,33.104,2459018.908529,16.3558618,4.673,1120.0,3.35233,78.2057,828.0,11.2452,243.519,5740.0,4.45,1.0
3539,4107.01,CANDIDATE,269.240718,58.882622,-13.792,6.097,2459031.715455,3.5323548,1.798,2400.0,3.42122,48.4475,734.0,12.8398,153.899,4003.0,4.59,0.66
3540,4108.01,CANDIDATE,257.667388,60.028468,-2.199,10.935,2459618.614779,14.4349681,5.892,1640.0,8.30442,231.943,1087.0,11.9824,665.929,5834.0,3.89,1.93
3541,4109.01,CANDIDATE,246.36791,66.351585,8.926,57.646,2459623.676761,12.3203248,2.34,5810.0,5.13058,6.79503,449.0,12.73,153.444,4103.0,4.62,0.65
3542,411.01,CANDIDATE,54.819538,-42.763028,-51.664,-110.627,2458386.189174,9.5730706,3.7949677,370.8091141,2.3053058,186.024825,941.9166541,7.757,62.7792,6101.0,4.38774,1.11672
3543,411.02,CANDIDATE,54.819538,-42.763028,-51.664,-110.627,2458385.72367,4.040413,3.5274466,143.394396,1.5473747,587.586178,1255.7050544,7.757,62.7792,6101.0,4.38774,1.11672
3544,4110.01,CANDIDATE,244.441282,69.447713,-3.663,10.34,2459034.464601,0.7676704,1.117,330.0,2.86036,2908.16,2045.0,11.1315,417.852,6377.0,4.17,1.53
3545,4111.01,CANDIDATE,290.980736,63.557271,2.27,14.627,2459031.47811,12.2791266,4.393,5980.0,10.3649,83.4025,841.0,12.955,705.399,5596.0,4.15,1.39
3547,4113.01,CANDIDATE,283.889684,71.400671,11.849,66.741,2458997.109932,22.1594284,3.846,810.0,4.13657,138.074,954.0,11.101,148.616,5174.0,4.58,0.79
3548,4114.01,CANDIDATE,292.965281,61.882054,-9.498,-20.765,2459033.056424,4.8037711,2.233,2030.0,3.20327,44.6307,720.0,12.3109,132.393,4080.0,4.56,0.69
3549,4115.01,CANDIDATE,249.121348,57.150009,-9.154,34.592,2459034.862191,2.9855974,1.24,9720.0,10.0824,119.248,920.0,12.8076,264.995,4602.0,4.48,0.82
3550,4116.01,CANDIDATE,271.403617,47.550327,-3.927,-8.035,2459032.578181,3.6311878,1.974,6500.0,13.3243,282.836,,12.4627,504.87,5979.9,,1.63
3551,4117.01,CANDIDATE,246.202805,60.965502,-0.46,2.061,2459401.838601,25.0927541,5.298,5110.0,10.0207,32.2613,663.0,12.6541,632.646,5775.0,4.2,1.34
3552,4118.01,CANDIDATE,268.37328,46.34641,-6.419,-3.643,2459031.107305,2.555231,2.487,12550.0,13.7785,712.519,1439.0,12.7376,594.975,5855.0,4.3,1.21
3553,4119.01,CANDIDATE,246.270436,73.283495,-18.873,16.767,2459584.034436,5.2019521,1.118,4420.0,8.5104,19.8516,588.0,12.9267,468.817,4950.0,4.21,1.18
3554,412.01,FALSE POSITIVE,64.311488,-38.844171,11.45,-0.54,2459169.731701,1.1097378,1.737,680.0,21.4253,123100.0,5218.0,8.7929,460.728,8666.0,3.80083,3.13
3555,4120.01,CANDIDATE,241.928706,82.072535,-15.067,12.1,2459610.568417,4.8952939,5.049,4810.0,12.1984,789.777,1476.0,12.8777,912.594,5828.0,3.96,1.77
3556,4121.01,CANDIDATE,267.707093,16.774858,-0.033,-4.656,2459029.557083,2.8624005,2.624,13520.0,17.8745,1507.58,1735.0,11.6881,605.874,7167.0,4.3,1.49
3557,4122.01,CANDIDATE,184.968065,83.235697,-1.07,-0.947,2459443.029994,2.4307782,1.708,1310.0,12.4035,506.486,1321.0,12.0844,1212.25,6015.0,3.45,3.3
3558,4123.01,CANDIDATE,131.233555,75.105679,-20.333,-44.632,2459581.338595,2.7882512,1.3698,3398.9624482,8.3608441,374.4215222,1121.91499,11.8522,242.624,5375.0,4.55,0.847241
3559,4124.01,CANDIDATE,279.258065,14.206599,0.443,-3.523,2459032.436074,3.413951,3.04,8980.0,22.9118,607.147,1382.0,11.436,512.0308,5150.0,,2.24
3560,4125.01,CANDIDATE,109.305384,70.780189,-7.673,-3.163,2459581.201433,4.7156353,2.979,11100.0,16.7715,342.215,1198.0,12.72,766.601,5873.0,4.08,1.56
3561,4126.01,FALSE POSITIVE,108.818021,81.220983,2.306,-107.544,2459032.680649,3.2428744,2.417,1470.0,2.3171,113.659,909.0,12.3454,107.33,4016.0,4.72,0.58
3562,4127.01,CANDIDATE,105.404552,72.41493,3.353,-3.195,2458862.718508,169.2131245,4.069,9060.0,12.5447,0.909373,272.0,11.0383,319.632,6433.0,4.36,1.25
3563,4128.01,CANDIDATE,128.261476,82.024762,-13.015,-28.979,2459581.364219,1.9795405,2.165,2540.0,4.77503,671.428,1418.0,12.2769,308.87,5275.0,4.46,0.92
