,kepoi_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_quarters,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
9300,K08239.01,-1,1,0,0,0,655.25732,2455018.993,0.141,20.05,268.2,0.015136,0.69698,1.56,1.4786,89.97,226.0,0.62,251.0,0.2866,5.662341,7.5713367,11.5,3.0,11111111111111111000000000000000,0.122,6420.0,4.492,-0.56,0.941,1.001,289.52121,51.57468,13.892,0.127,-2.0,2.1,0.00052,-0.00037,-1.27,-0.83,1.51,-1.17,-0.69,1.36
9301,K08026.01,0,0,0,0,0,7.7529342,2454970.488,0.449,5.072,72.1,0.007937,0.37101,0.93,0.0742,87.57,1002.0,238.09,10.56,0.3342,4.260575,7.976704,9.2,173.0,11111111111111111000000000000000,0.9294,5975.0,4.335,-0.34,1.072,0.907,292.33951,47.746391,14.751,0.283,-2.0,0.7,0.00014,-5e-05,0.17,0.36,0.4,0.07,0.4,0.41
9302,K08027.01,-1,1,0,0,0,0.573762943,2454964.802,0.13,2.196,48.3,0.00631,0.51815,0.39,0.0112,86.42,1538.0,1331.17,2.08,0.4539,7.4485526,9.232281,8.5,1864.0,11111101110111011000000000000000,-1.0,4891.0,4.683,-1.12,0.571,0.572,297.1684,47.821129,14.028,0.246,-1.99,-4.54,-3.7e-05,2e-06,2.2,4.1,4.7,0.83,-0.6,1.0
9303,K08028.01,-1,0,1,0,0,1.072934147,2454965.293,1.009,4.50475,96883.0,0.489542,0.20736,81.42,0.023,64.32,2523.0,9590.04,2.3281,0.2559,420.0943,4700.6523,949.0,1003.0,11111101110111011000000000000000,0.0385,7031.0,4.222,-0.06,1.523,1.415,297.74243,47.891682,13.96,0.0,-0.14778,-0.08441,0.02,0.0,-0.198,0.005,0.198,-0.237,-0.055,0.244
9304,K08029.01,-1,0,0,1,1,2.61854596,2454966.999,0.033,4.866,19.7,0.004016,0.19954,1.18,0.0414,89.55,2008.0,3846.53,4.17,0.3893,2.941246,7.188303,8.1,412.0,11111101110111011000000000000000,0.7689,5657.0,3.721,0.02,2.682,1.38,299.06802,47.920029,13.133,0.0,-5.7,-1.6,0.000129,3.1e-05,-3.0,-4.2,5.2,-2.7,-4.2,5.0
9305,K08030.01,-1,0,0,1,0,13.667809025,2454967.656,0.212,2.7993,127.7,0.010368,5.06938,0.91,0.1062,89.67,705.0,58.32,36.855169,0.3556,3.6250203,7.592254,2.6,98.0,11111111111111111000000000000000,0.3089,5796.0,4.556,-0.44,0.807,0.856,291.47424,48.026958,14.812,0.0,-112.7,0.8,0.01689,-0.00013,-10.771,-0.781,10.8,-10.647,-0.765,10.674
9306,K08031.01,0,0,0,0,0,254.336707,2455033.587,0.728,8.585,398.4,0.019676,1.23398,13.97,0.9935,89.74,586.0,27.88,161.6,0.4702,5.283398,7.3345575,11.3,5.0,11111111111111111000000000000000,0.0896,5193.0,3.117,-0.2,6.502,2.018,289.0275,48.13792,13.625,0.001,-0.07,-1.28,6e-05,0.00058,-0.31,-0.32,0.44,-0.28,-0.22,0.36
9307,K08032.01,-1,1,0,0,1,1.105123883,2454965.52,0.685,3.001,66.7,0.007944,0.1725,0.83,0.021,72.15,1755.0,2235.64,2.233,0.3588,3.358377,9.741476,20.7,1219.0,11111111111111111000000000000000,0.8633,5883.0,4.476,-0.04,0.959,1.005,293.76025,48.145248,14.512,0.116,2.6,0.9,-6.5e-05,-1.8e-05,0.13,-0.41,0.43,0.2,-0.14,0.24
9308,K08132.01,-1,1,0,0,0,381.85852,2455291.813,0.024,16.121,362.9,0.016941,0.80777,8.3,1.0472,89.99,453.0,9.93,184.0,0.5237,5.8421483,7.1882377,16.0,3.0,11111111111111111000000000000000,0.035,4959.0,3.155,-0.26,4.486,1.049,296.18787,42.57666,12.883,0.092,-0.1,-0.53,0.0,0.00023,0.28,-1.09,1.13,0.31,-0.96,1.01
9309,K08133.01,-1,1,0,0,0,455.77076435,2455171.792,0.802,5.1149,341.1,0.018657,7.12978,5.34,1.3393,89.89,419.0,7.28,427.796479,0.274,7.734873,7.693774,11.6,3.0,11111111111111111000000000000000,0.7944,6785.0,3.788,-0.14,2.623,1.542,297.0069,42.597229,12.389,0.766,-0.34,0.07,9e-05,0.0,-2.23,2.09,3.1,-2.13,2.09,2.98
9310,K08134.01,-1,1,0,0,0,212.760495,2455087.453,0.036,3.703,195.8,0.012985,36.6743,2.8,0.8041,90.0,485.0,13.13,444.39,0.2559,4.3766294,7.255176,9.2,7.0,11111111111111111000000000000000,0.6252,7021.0,4.031,-0.06,1.976,1.526,288.08237,42.636909,12.946,0.29,1.4,-0.3,-0.00023,7e-05,-1.0,0.61,1.1,-0.9,0.69,1.1
9311,K08135.01,-1,1,0,0,0,73.836858,2455007.009,0.8,19.722,231.2,0.015625,0.02,25.09,0.4982,87.44,1143.0,403.37,17.93,0.6257,10.509959,13.65705,13.1,19.0,11111111111111111000000000000000,0.6624,4769.0,2.583,0.36,14.706,3.02,291.55719,42.694649,10.996,0.068,0.46,-0.34,-0.00017,6e-05,-0.05,-0.91,0.91,-0.11,-1.28,1.28
9312,K08136.01,-1,1,0,0,0,160.243128,2454995.474,0.258,5.393,556.4,0.021251,8.31454,15.72,0.7356,89.93,686.0,52.5,224.3,0.4773,3.80906,7.2885313,10.2,7.0,11111111111111111000000000000000,0.0495,5128.0,3.091,-0.08,6.775,2.063,286.72119,42.778511,14.859,0.188,1.2,-0.3,-0.00077,0.00012,1.06,0.87,1.37,0.96,0.72,1.2
