,pl_name,disposition,pl_orbper,pl_rade,pl_trandep,st_teff,st_rad,st_logg,ra,dec
3642,K02930.01,FALSE POSITIVE,1.12976597,0.83,133.7,5366.0,0.715,4.625,294.30652,39.765282
3643,K00277.01,CONFIRMED,16.23191704,3.54,501.6,5919.0,1.585,4.042,291.25018,49.231834
3644,K02709.01,FALSE POSITIVE,15.4126766,2.82,599.8,5240.0,0.856,4.555,296.54736,39.222542
3645,K02710.01,FALSE POSITIVE,1.110599919,1.07,157.6,5227.0,0.867,4.463,286.86526,41.796021
3646,K00260.03,CONFIRMED,21.86965714,1.51,125.5,6214.0,1.297,4.238,289.34732,44.208511
3647,K02711.01,CONFIRMED,9.02436414,1.62,214.6,5885.0,1.111,4.348,290.94449,40.480042
3648,K02711.02,CONFIRMED,17.3408735,1.43,159.0,5885.0,1.111,4.348,290.94449,40.480042
3649,K02773.01,FALSE POSITIVE,0.878855771,1.57,269.7,5727.0,0.937,4.438,294.57697,38.265518
3650,K02774.01,FALSE POSITIVE,2.49432176,8.91,8043.0,5780.0,1.0,4.438,294.1062,46.210991
3651,K02775.01,CANDIDATE,17.57704569,27.21,670.0,5653.0,0.901,4.442,285.09872,41.775921
3652,K02776.01,FALSE POSITIVE,1.00652785,1.03,125.9,6089.0,0.889,4.527,294.63834,39.39798
3653,K02777.01,FALSE POSITIVE,1.99566293,1.11,197.0,5235.0,0.771,4.595,297.82056,41.96693
3654,K02854.01,FALSE POSITIVE,0.755111225,1.38,168.0,5780.0,1.0,4.438,284.35446,40.723286
3655,K02855.01,CANDIDATE,1.400755743,1.3,144.4,5487.0,1.072,4.333,287.19247,39.626148
3656,K02856.01,CONFIRMED,25.8730914,2.88,694.4,6036.0,1.093,4.382,285.79724,40.93618
3657,K02857.01,CONFIRMED,20.2642023,2.12,185.3,5937.0,1.291,4.251,284.56567,41.778481
3658,K00272.01,CANDIDATE,1.28132831,4.52,525.5,5918.0,1.596,3.978,295.10114,40.986679
3659,K02857.02,CONFIRMED,7.44136102,1.33,79.7,5937.0,1.291,4.251,284.56567,41.778481
3660,K02931.01,CONFIRMED,99.2532336,2.17,538.0,5010.0,0.715,4.623,285.71741,44.758419
3661,K02932.01,FALSE POSITIVE,3.84933401,2.12,503.9,5984.0,0.906,4.521,294.36057,38.948181
3662,K02933.01,CANDIDATE,119.0833042,22.19,2951.0,4412.0,0.623,4.662,295.67798,51.257839
3663,K02935.01,CANDIDATE,27.8813154,1.54,209.2,6434.0,1.055,4.414,299.6611,44.112381
3664,K02936.01,CONFIRMED,6.4802138,1.26,142.0,5496.0,0.983,4.417,298.66235,48.24876
3665,K02712.01,CANDIDATE,7.50790041,1.77,145.0,6408.0,1.337,4.309,297.74728,48.694309
3666,K02713.01,FALSE POSITIVE,21.3910125,1.72,645.8,4889.0,0.686,4.637,290.28503,40.689362
3667,K02714.01,CONFIRMED,14.3832267,1.84,178.5,6115.0,1.291,4.249,290.08276,50.86348
3668,K02714.02,CONFIRMED,47.3186631,2.1,263.4,6115.0,1.291,4.249,290.08276,50.86348
3669,K02715.01,CONFIRMED,11.12827427,4.04,6057.0,3640.0,0.503,4.744,294.52859,46.640968
3670,K02778.01,CONFIRMED,2.21571296,1.7,285.1,5417.0,0.901,4.447,297.02008,43.432549
3671,K02779.01,CONFIRMED,34.4585495,1.88,431.0,6161.0,0.862,4.545,296.77283,50.188419
3672,K02780.01,CONFIRMED,3.35184041,1.88,345.3,6198.0,1.005,4.464,294.29453,50.725368
3673,K02781.01,FALSE POSITIVE,1.615758517,1.31,41.7,5622.0,2.017,3.813,299.05725,44.074902
3674,K00268.01,CANDIDATE,110.3783828,3.02,489.8,6342.0,1.359,4.242,285.72879,38.506973
3675,K02859.01,CONFIRMED,3.4462125,0.7,83.5,5374.0,0.721,4.555,288.83136,47.551991
3676,K02859.02,CONFIRMED,2.005414293,0.65,59.5,5374.0,0.721,4.555,288.83136,47.551991
3677,K02859.03,CANDIDATE,4.28886792,0.57,59.3,5374.0,0.721,4.555,288.83136,47.551991
3678,K02861.01,FALSE POSITIVE,1.868564038,1.4,176.7,6065.0,1.023,4.427,289.64764,43.579182
3679,K02862.01,CANDIDATE,24.5752524,1.64,1003.4,3678.0,0.512,4.755,287.94861,42.156139
3680,K02946.01,CONFIRMED,15.1408916,1.93,476.8,5926.0,0.887,4.532,288.76697,46.394421
3681,K02948.01,CONFIRMED,11.39169531,1.02,51.0,5557.0,1.249,4.198,289.39474,41.782349
3682,K02949.01,CANDIDATE,10.1747037,1.04,52.4,5866.0,1.339,4.191,285.87579,41.332432
3683,K02951.01,CONFIRMED,2.44358543,0.67,59.1,5561.0,0.873,4.486,284.45947,40.142559
3684,K02952.01,FALSE POSITIVE,1.7592691,1.21,140.4,5784.0,0.984,4.416,295.23151,44.1129
3685,K02715.02,CONFIRMED,2.226496196,2.1,1839.1,3640.0,0.503,4.744,294.52859,46.640968
3686,K02715.03,CONFIRMED,5.72084599,1.78,1316.0,3640.0,0.503,4.744,294.52859,46.640968
3687,K02716.01,CONFIRMED,0.962864171,1.52,303.5,5704.0,0.804,4.575,293.20453,45.435398
3688,K00261.01,CONFIRMED,16.23847733,2.76,646.7,5683.0,0.993,4.422,297.06961,40.525131
3689,K02716.02,CONFIRMED,6.46004728,1.8,394.2,5704.0,0.804,4.575,293.20453,45.435398
3690,K02785.01,CONFIRMED,4.76831033,1.78,251.8,6237.0,1.116,4.374,287.0863,46.945808
3691,K02786.01,CONFIRMED,44.616751,2.31,239.7,6763.0,1.424,4.22,292.47797,46.022831
3692,K02787.01,FALSE POSITIVE,1.714410345,1.84,50.4,6340.0,2.498,3.731,291.68573,39.42886
3693,K02789.01,CONFIRMED,3.40165617,1.34,155.9,6177.0,0.906,4.516,291.84131,45.17918
3694,K02790.01,CONFIRMED,14.00948631,0.98,169.9,5153.0,0.767,4.551,299.65961,40.843849
3695,K02863.01,FALSE POSITIVE,1.703359172,0.69,57.6,6026.0,0.904,4.503,293.07806,38.359081
3696,K02864.01,FALSE POSITIVE,3.77881664,3.99,47.1,6115.0,5.544,3.267,292.23782,39.00507
3697,K02865.01,CONFIRMED,1.311558909,1.15,141.3,5926.0,0.963,4.501,288.88663,44.83955
3698,K02866.01,CONFIRMED,1.291233083,0.89,66.0,6384.0,1.086,4.419,285.75204,39.24921
3699,K00273.01,CONFIRMED,10.573751447,2.07,298.9,5720.0,1.08,4.4,287.47852,38.22884
3700,K02961.01,CONFIRMED,3.7847507,0.7,33.5,6017.0,1.206,4.326,292.33755,47.6642
3701,K02962.01,CANDIDATE,2.17291055,0.93,76.4,6164.0,1.045,4.446,294.86319,40.007511
3702,K02963.01,CONFIRMED,18.2206024,1.78,201.8,5951.0,1.262,4.283,294.33646,44.918289
3703,K02963.02,CANDIDATE,7.35101287,1.42,115.9,5951.0,1.262,4.283,294.33646,44.918289
3704,K02964.01,CONFIRMED,47.4497134,1.61,206.4,6007.0,1.126,4.353,299.67587,47.07584
3705,K02717.01,CONFIRMED,0.929906166,1.48,108.7,6039.0,1.413,4.169,292.87228,46.098881
3706,K02718.01,FALSE POSITIVE,0.784513087,131.4,316.6,3853.0,78.869,0.892,299.55634,40.460297
3707,K02719.01,CONFIRMED,4.11585514,1.93,425.8,4827.0,0.823,4.508,291.18497,40.311211
3708,K02720.01,CANDIDATE,6.57159435,1.26,65.7,6042.0,1.432,4.139,295.43967,44.039162
3709,K02721.01,CONFIRMED,33.878639,3.52,700.1,5533.0,1.072,4.348,285.01721,42.085381
3710,K02791.01,CONFIRMED,27.5722144,1.94,296.3,5912.0,1.09,4.397,292.08746,49.788761
3711,K02792.01,CONFIRMED,2.12821621,0.7,25.9,5952.0,1.377,4.227,286.33835,48.744099
3712,K02794.01,FALSE POSITIVE,0.703399912,2.15,531.4,5955.0,0.91,4.52,284.4447,40.693508
3713,K02795.01,FALSE POSITIVE,2.5355023,2.7,354.6,6268.0,1.1,4.429,298.85361,40.131088
3714,K02797.01,CANDIDATE,0.868122253,1.65,231.3,6116.0,1.084,4.44,293.68356,47.833141
3715,K02867.01,FALSE POSITIVE,1.332560553,0.4,31.7,4947.0,0.714,4.621,295.15051,46.772305
3716,K02867.02,FALSE POSITIVE,18.936061,0.34,24.3,4947.0,0.714,4.621,295.15051,46.772305
3717,K02868.01,CONFIRMED,10.65275054,2.2,740.7,5602.0,0.817,4.571,291.34998,45.172272
3718,K02869.01,CONFIRMED,3.30040818,1.43,98.8,6333.0,1.438,4.229,296.29355,43.403271
3719,K02870.01,FALSE POSITIVE,5.62950902,2.11,297.5,5822.0,0.898,4.529,298.03931,39.901939
3720,K02942.01,CANDIDATE,13.84301228,1.98,567.8,5745.0,0.837,4.559,296.26456,39.40596
3721,K02942.02,CONFIRMED,24.2758992,2.25,702.2,5745.0,0.837,4.559,296.26456,39.40596
3722,K02943.01,CONFIRMED,54.4099612,1.56,193.0,5746.0,1.133,4.309,294.83102,46.659592
3723,K02944.01,FALSE POSITIVE,9.12209336,28.17,906.8,5899.0,0.96,4.499,293.07834,42.277039
3724,K02945.01,CONFIRMED,19.94752741,2.52,861.3,5749.0,0.864,4.547,288.95551,44.7057
3725,K00277.02,CONFIRMED,13.84984567,1.45,84.6,5919.0,1.585,4.042,291.25018,49.231834
3726,K02722.01,CONFIRMED,6.12479773,1.51,129.3,6052.0,1.202,4.285,288.37024,43.35461
3727,K02722.02,CONFIRMED,11.24284815,1.44,136.0,6052.0,1.202,4.285,288.37024,43.35461
3728,K02722.03,CONFIRMED,4.02877097,1.21,100.4,6052.0,1.202,4.285,288.37024,43.35461
3729,K02722.04,CONFIRMED,8.92114318,1.27,110.8,6052.0,1.202,4.285,288.37024,43.35461
3730,K00262.01,CONFIRMED,7.81285862,1.68,117.3,6237.0,1.543,4.136,288.10086,50.033718
3731,K00269.01,CONFIRMED,18.01164974,1.83,107.8,6477.0,1.459,4.224,287.34573,43.378391
3732,K02798.01,CONFIRMED,0.916142298,0.6,98.5,4374.0,0.614,4.639,293.60873,42.197681
3733,K02799.01,FALSE POSITIVE,0.597933473,1.24,106.0,6543.0,1.159,4.382,299.07883,40.832291
3734,K02800.01,FALSE POSITIVE,2.69636494,1.24,109.0,5653.0,1.139,4.25,283.73706,47.797131
3735,K02801.01,CONFIRMED,6.99205021,1.06,33.4,6057.0,1.467,4.139,299.16049,41.14373
3736,K02871.01,CONFIRMED,12.0999065,1.39,165.5,5553.0,1.098,4.33,290.20163,48.185822
3737,K02871.02,CONFIRMED,5.36375016,1.15,114.3,5553.0,1.098,4.33,290.20163,48.185822
3738,K02872.01,FALSE POSITIVE,3.17319407,0.91,135.8,5369.0,0.784,4.508,296.88654,42.655079
3739,K02873.01,FALSE POSITIVE,5.24368302,0.91,225.4,4194.0,0.629,4.633,291.89893,41.744492
3740,K02876.01,CANDIDATE,5.1952021,1.37,320.8,5044.0,0.738,4.551,292.37903,39.435841
3741,K02955.01,FALSE POSITIVE,0.591280187,1.3,135.0,6246.0,1.092,4.433,294.47125,40.278759
3742,K02956.01,CONFIRMED,3.93766786,1.36,24.3,6277.0,2.741,3.728,283.45319,45.084141
3743,K02958.01,CANDIDATE,31.6084371,1.89,331.6,6341.0,1.033,4.446,290.9288,47.887249
