,pl_name,tic_id,Unnamed: 0,disposition,sy_snum,sy_pnum,rv_flag,tran_flag,pl_orbper,pl_rade,pl_radj,pl_tranmid,ttv_flag,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_logg,ra,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_tmag,sy_kepmag,k2_campaigns,lc_amplitude,lc_slope,lc_max,lc_mean,lc_median,lc_meanAbsDev,lc_min,lc_q1,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
20,EPIC 201247497.01,TIC 78312435,28.0,2.0,1.0,0.0,0.0,1.0,2.75391,3.78,0.337,2456810.9031,0.0,3.765681081081081,1.0296,10.978774648648649,0.079,3918.0,0.44,0.9483783783783785,4.85,177.9464521,-3.2460183,56.38869,275.27593,-3.79471,179.40853,23.6639771,-20.9618,10.9812,793.131,1.23644,18.876,17.3749,14.562,13.982,13.748,13.734,13.669,12.497,8.804,16.7664,15.9022,16.77,1.0,318.6080322265625,5136.07851261189,2920.041259765625,2316.543212890625,107861.35418866132,124611.80725530676,2282.8251953125,107301.42838101773,371903.21401235217,264601.78563133447,1.139344262295082,-0.5850955199682308,4.8604668105026515e+22,14.076912879943848
21,EPIC 201257461.01,TIC 446672940,31.0,0.0,1.0,0.0,0.0,1.0,50.285869,3.47,0.31,2456828.355,0.0,0.184,12.62,11.487594405405405,0.05345,4859.0,0.74,0.9564864864864863,4.337837837837838,178.1611264,-3.0949095,56.6147,275.51697,-3.57072,179.54522,8.1450771,-7.91616,-1.91747,829.248,1.1772,12.883,11.668,9.994,9.479,9.368,9.284,9.386,9.284,8.319,11.5044,10.8877,11.511,1.0,3636.640625,5092.226318123064,330070.9375,324765.90625,133550.03747888515,123570.69906245051,322797.65625,133007.2300464527,395180.5835620777,262173.353515625,1.4316770186335404,-0.7728297742178075,4.861688251648773e+22,560.5809936523438
22,EPIC 201258341.01,TIC 421194234,33.0,2.0,1.0,0.0,0.0,1.0,10.50439,1.75,0.156,2456818.9185,0.0,0.0402,3.384,21.4,0.0183,5746.552162162162,0.88,0.9583783783783782,4.334594594594595,178.6905819,-3.0828192,56.83953,276.38943,-3.34903,180.0262,115.2840653,-115.267,-1.98354,84.947,11.7435,10.76,9.996,8.565,8.228,8.166,7.772,7.869,7.907,7.543,9.78271,9.3118,9.769,1.0,29511.125,6121.505989598288,1859015.5,1833604.0,105366.29508023648,148350.18537201753,1799993.25,104864.28177787163,420334.35538956925,315470.07361169765,0.7852257181942545,-0.526735689801307,5.7158929388231494e+22,15476.4169921875
23,EPIC 201259803.01,TIC 38132622,34.0,2.0,1.0,0.0,0.0,1.0,1.684208,5.51,0.492,2456810.89293,0.0,1.476,1.3224,10.58,0.1173,5545.386756756757,0.43,0.6264864864864865,4.553783783783783,170.382257,-3.0610326,52.83076,263.74214,-6.62419,172.37357,40.0848696,-40.0582,-1.46198,325.636,3.0449,18.763,16.809,13.795,13.128,12.941,12.903,12.81,12.243,8.806,16.2552,15.1877,16.033,1.0,361.9298095703125,5136.07851261189,4480.23583984375,3877.185791015625,107861.35418866132,124611.80725530676,3756.376220703125,107301.42838101773,371903.21401235217,264601.78563133447,0.6977450130095403,-0.5850955199682308,4.8604668105026515e+22,39.56013107299805
24,EPIC 201264302.01,TIC 38086751,35.0,2.0,1.0,0.0,0.0,1.0,0.2122013,0.519,0.046,2456810.4898,0.0,0.0725,0.624,2.44,0.0253,5592.227837837838,0.19,0.8148648648648649,4.425675675675675,169.5971097,-2.9913978,52.44111,262.61514,-6.86947,171.62041,174.1559694,-166.05,52.5138,71.8937,13.8807,16.351,14.898,11.147,10.59,10.357,10.233,10.108,9.973,8.449,13.8198,12.631,13.879,1.0,364.501953125,5872.639850373554,38427.9921875,38003.73828125,107861.35418866132,142292.65269449595,37698.98828125,107301.42838101773,410120.7963603252,302819.3679793074,1.1014492753623188,-0.5846199869497225,5.713776186964118e+22,68.99752044677734
25,EPIC 201270176.01,TIC 38116677,38.0,2.0,1.0,0.0,0.0,1.0,1.5778643,7.55,0.674,2456810.434,0.0,0.891,3.02,11.690328432432432,0.115,4811.0,0.73,0.925135135135135,4.370810810810811,170.1325248,-2.9026339,52.82016,263.2535,-6.57707,172.07996,18.3696712,-14.9316,-10.7001,290.883,3.40971,13.318,12.605,10.898,10.482,10.401,10.311,10.336,10.275,8.867,12.2983,11.7488,12.452,1.0,84373.71875,5879.428714835503,469719.375,368050.65625,115283.89432010135,142490.21788220791,300971.9375,114752.3542018581,417922.1762299409,303169.8220280828,1.0670538542766632,-0.5386959553618501,5.7137761939964545e+22,13210.2998046875
26,EPIC 201270464.01,TIC 38116680,40.0,2.0,1.0,0.0,0.0,1.0,1.57771549,50.669135135135136,4.521810810810811,2456818.327691,0.0,0.875,2.993,12.620953945945946,0.2088170270270271,7333.0,2.57,1.66,3.84,170.133417,-2.8982132,52.8243,263.25055,-6.57266,172.07903,16.9452891,-12.1525,-11.8093,307.784,3.22155,9.82,9.12,8.526,8.487001,8.438,8.394,8.423,8.424,8.298,9.0828,8.8701,9.392,1.0,19768.875,12541.685059550511,2982350.75,2974158.5,26746.81323902027,304439.1156218245,2942813.0,26479.96384079392,671292.2319467906,644812.2681059967,0.6274428274428274,-0.21832800398036953,4.663968643123124e+24,5282.3525390625
27,EPIC 201274010.01,TIC 56813470,41.0,2.0,1.0,0.0,0.0,1.0,13.0113,2.43,0.217,2457589.515,0.0,0.065,2.2008,26.7,0.0255,5347.0,0.88,0.92,4.51,183.3092954,-2.844186,58.64353,284.36294,-1.29451,184.16642,10.1328663,4.72775,-8.96233,501.257,1.9665,14.808,14.003,12.57,12.217,12.194,12.096,12.133,11.779,8.539,13.8764,13.364,13.902,10.0,256.23046875,0.002300144818429365,39029.7734375,38765.171875,38765.37109375,-0.19720906019210815,38517.3125,38757.81640625,38771.5,13.68359375,0.9515570934256056,0.5033642660303914,6134927.5,17.874967575073242
28,EPIC 201291843.01,TIC 421192026,42.0,2.0,1.0,0.0,0.0,1.0,40.70206194,33.247702702702696,2.963648648648649,2456823.294921,0.0,0.536,1.621,13.912828702702704,0.17062405405405406,3759.0,0.57,0.57,4.67,178.420349,-2.5717754,57.19799,275.55663,-2.98775,179.57441,118.0502057,-118.042,1.39187,118.959,8.3775,15.892,14.418,11.394,10.662,10.591,10.404,10.423,10.156,8.838,13.6506,12.6371,13.679,1.0,250.904296875,4960.841301569078,45671.57421875,45388.81640625,109464.8840661951,120361.45107413628,45169.765625,108899.39011032517,364544.300715266,255644.91060494087,0.9376237623762376,-0.4545839566578918,4.858404632786205e+22,25.967330932617188
29,EPIC 201299088.01,TIC 56760106,43.0,2.0,1.0,0.0,0.0,1.0,21.204739,9.11,0.81,2457600.34291,0.0,1.7269340540540543,4.106885405405405,7.257597,0.04741,5154.0,1.76,0.9645945945945947,3.91,182.2046312,-2.4646145,58.67435,282.12008,-1.38475,183.00266,27.2430251,-17.2604,-21.0775,573.991,1.71487,12.866,11.965,10.366,9.862001,9.8,9.749,9.81,9.789,8.261,11.7673,11.2017,11.751,10.0,1102.078125,0.19860249918018066,252490.40625,251764.421875,251755.8359375,8.590721130371094,250286.25,251730.11328125,251818.1015625,87.98828125,1.1692307692307693,-2.323727747075642,5499100672.0,122.33651733398438
