,Unnamed: 0,pl_name,hd_name,hip_name,tic_id,disposition,sy_snum,sy_pnum,rv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w3mag,sy_w4mag,sy_icmag,sy_kepmag,k2_campaigns,lc_amplitude,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
14,14,EPIC 201176672.01,,,TIC 443616789,2,1.0,0.0,0.0,79.9999,,10.2,,,,,,,,,,,,,,,2456877.8046,0.0,,,11.7504,,0.18,,,,,,,4542.0,0.51,,,,,4.75,,,,,,-4.6564416,50.81973,263.5583,-8.5755,171.86959,83.1631456,-79.9358,22.9429,333.46,2.97164,15.334,14.258,,,,,,11.565,11.614,9.147,,13.98,1.0,663.4501953125,32773.80078125,,,,1.0443864229765014,,,69.33968353271484
15,15,EPIC 201176672.02,,,TIC 443616789,2,1.0,0.0,0.0,,,30.0,,,,,,,,,,,,,,,2456877.8038,0.0,,3.06,14.472,,0.39,,,,,,,,0.71,,,,,,,,,,,-4.6564416,50.81973,263.5583,-8.5755,171.86959,83.1631456,-79.9358,22.9429,333.46,2.97164,15.334,14.258,,,,,,11.565,11.614,9.147,,13.98,1.0,663.4501953125,32773.80078125,,,,1.0443864229765014,,,69.33968353271484
16,16,EPIC 201180665.01,,,TIC 349458175,2,1.0,0.0,0.0,17.77297,,26.44,,,,,,,,,,,,,830.0,,2457586.4986,0.0,0.68,3.662,2.8992,33.3,0.1892,,,,,,,5847.0,1.25,1.06,,,0.219,4.27,,0.7573,,,,-4.5603949,57.21742,286.78199,-2.52858,185.63683,28.633837,-26.7254,-10.2786,601.265,1.63444,13.881,13.327,,,,,,11.635,11.648,8.589,,13.08,10.0,1742.6484375,78957.078125,79007.640625,79050.328125,147.86328125,0.598488427019367,-7.75455672445346,360797929472.0,256.4866638183594
17,17,EPIC 201182911.01,,,TIC 173109451,2,1.0,0.0,0.0,0.99656225,,32.8,,,,,,,,,,,,,,,2456811.09,0.0,0.53,35.5,2.26,,0.6256,,,,,,,3727.0,0.5,,,,,,,,,,,-4.5075924,52.85404,268.27344,-7.03187,175.09897,3.2604002,-1.5629,2.86139,335.632,2.95191,17.937,16.226,19.5005,17.0342,15.6088,14.8653,14.4434,12.31,11.748,8.648,,15.516,1.0,1781.692626953125,8102.70458984375,,,,0.16865671641791044,,,531.2322998046875
18,18,EPIC 201197348.01,,,TIC 62965118,2,1.0,0.0,0.0,14.9139,,3.24,,,,,,,,,,,,,,,2456825.1108,0.0,,0.24,3.264,32.6,0.046,,,,,,,,0.65,,,,,,,,,,,-4.1644059,55.19886,274.58724,-4.97569,178.99399,20.7933424,-20.7339,-1.57114,360.103,2.7488,16.82,15.537,,,,,,12.393,12.151,8.547,,15.135,1.0,289.81103515625,11515.7744140625,,,,0.9802731411229135,,,27.069082260131836
20,20,EPIC 201231940.01,,,TIC 49429059,2,1.0,0.0,0.0,0.57303573,,3.35,,,,,,,,,,,,,,,2456810.511,0.0,0.35,0.51,0.32,,0.09028,,,,,,,3570.0,0.43,,,,,,,,,,,-3.4828286,54.44476,269.46549,-5.53228,175.98785,78.0163144,32.503,-70.9232,1138.64,0.824115,19.686,18.78,21.7969,19.4444,18.0973,17.5358,17.197,15.178,12.474,8.686,,18.108,1.0,594.378173828125,473.8127746582031,,,,1.1786310517529215,,,19.5659236907959
21,21,EPIC 201238110 b,,,TIC 35019000,1,1.0,1.0,0.0,28.1696,,2.2,,,,,,,,,,,,,,,2456824.4836,0.0,,0.316,3.36,61.5,0.054,,,,,,,,0.37,,,,,,,,,,,-3.3894613,56.94662,278.31843,-3.22646,181.07984,28.0214205,-25.1078,-12.4418,159.259,6.25088,17.881,16.014,19.7224,17.0037,15.5521,14.5637,14.0482,11.8,11.961,8.891,,14.904,1.0,287.94970703125,9583.5380859375,,,,0.9964303926568078,,,45.460235595703125
23,23,EPIC 201238110.01,,,TIC 35019000,2,1.0,1.0,0.0,7.90417,,2.06,,,,,,,,,,,,,,,2456813.6895,0.0,,0.268,1.92,27.3,0.0505,,,,,,,,0.37,,,,,,,,,,,-3.3894613,56.94662,278.31843,-3.22646,181.07984,28.0214205,-25.1078,-12.4418,159.259,6.25088,17.881,16.014,19.7224,17.0037,15.5521,14.5637,14.0482,11.8,11.961,8.891,,14.904,1.0,287.94970703125,9583.5380859375,,,,0.9964303926568078,,,45.460235595703125
25,25,EPIC 201238163.01,,,TIC 173163938,2,1.0,0.0,0.0,1.0829614,,1.56,,,,,,,,,,,,,,,2456810.366,0.0,0.46,0.0655,1.22,,0.02378,,,,,,,3875.0,0.56,,,,,,,,,,,-3.3887192,54.09769,268.11511,-5.78616,175.16055,9.8565836,-1.85508,9.68044,299.406,3.31192,17.367,15.657,19.2039,16.5375,15.2075,14.6375,14.3181,12.226,11.97,8.672,,15.279,1.0,860.70166015625,11118.970703125,,,,1.046523784631469,,,31.4416561126709
26,26,EPIC 201239401.01,,,TIC 173147407,2,1.0,0.0,0.0,0.90552205,,1.52,,,,,,,,,,,,,,,2456810.944,0.0,0.49,0.0791,1.32,,0.02628,,,,,,,3710.0,0.5,,,,,,,,,,,-3.370321,54.00641,267.79228,-5.85246,174.95988,20.3871414,-15.3766,-13.3864,190.075,5.23261,17.114,15.731,19.2719,16.5486,15.1132,14.2917,13.8421,11.648,11.871,8.328,,15.042,1.0,415.9765625,13538.7607421875,,,,0.8380281690140845,,,51.43568801879883
28,28,EPIC 201247497.01,,,TIC 78312435,2,1.0,0.0,0.0,2.75391,,3.78,,,,,,,,,,,,,,,2456810.9031,0.0,,,1.0296,,0.079,,,,,,,3918.0,0.44,,,,,4.85,,,,,,-3.2460183,56.38869,275.27593,-3.79471,179.40853,23.6639771,-20.9618,10.9812,793.131,1.23644,18.876,17.3749,20.5699,18.1042,16.86,16.1991,15.7606,13.734,12.497,8.804,,16.77,1.0,318.6080322265625,2316.543212890625,,,,1.139344262295082,,,14.076912879943848
31,31,EPIC 201257461.01,,,TIC 446672940,0,1.0,0.0,0.0,50.285869,,3.47,,,,,,,,,,,,,,,2456828.355,0.0,0.95,0.184,12.62,,0.05345,,,,,,,4859.0,0.74,,,,,,,,,,,-3.0949095,56.6147,275.51697,-3.57072,179.54522,8.1450771,-7.91616,-1.91747,829.248,1.1772,12.883,11.668,15.4938,12.4747,14.1617,13.1828,11.4917,9.284,9.284,8.319,,11.511,1.0,3636.640625,324765.90625,,,,1.4316770186335404,,,560.5809936523438
33,33,EPIC 201258341.01,,,TIC 421194234,2,1.0,0.0,0.0,10.50439,,1.75,,,,,,,,,,,,,,,2456818.9185,0.0,,0.0402,3.384,21.4,0.0183,,,,,,,,0.88,,,,,,,,,,,-3.0828192,56.83953,276.38943,-3.34903,180.0262,115.2840653,-115.267,-1.98354,84.947,11.7435,10.76,9.996,,,,,,7.772,7.907,7.543,,9.769,1.0,29511.125,1833604.0,,,,0.7852257181942545,,,15476.4169921875
34,34,EPIC 201259803.01,,,TIC 38132622,2,1.0,0.0,0.0,1.684208,,5.51,,,,,,,,,,,,,,,2456810.89293,0.0,,1.476,1.3224,10.58,0.1173,,,,,,,,0.43,,,,,,,,,,,-3.0610326,52.83076,263.74214,-6.62419,172.37357,40.0848696,-40.0582,-1.46198,325.636,3.0449,18.763,16.809,,,,,,12.903,12.243,8.806,,16.033,1.0,361.9298095703125,3877.185791015625,,,,0.6977450130095403,,,39.56013107299805
35,35,EPIC 201264302.01,,,TIC 38086751,2,1.0,0.0,0.0,0.2122013,,0.519,,,,,,,,,,,,,,,2456810.4898,0.0,,0.0725,0.624,2.44,0.0253,,,,,,,,0.19,,,,,,,,,,,-2.9913978,52.44111,262.61514,-6.86947,171.62041,174.1559694,-166.05,52.5138,71.8937,13.8807,16.351,14.898,18.1725,15.6461,14.3046,13.1054,12.4743,10.233,9.973,8.449,,13.879,1.0,364.501953125,38003.73828125,,,,1.1014492753623188,,,68.99752044677734
38,38,EPIC 201270176.01,,,TIC 38116677,2,1.0,0.0,0.0,1.5778643,,7.55,,,,,,,,,,,,,,,2456810.434,0.0,0.92,0.891,3.02,,0.115,,,,,,,4811.0,0.73,,,,,,,,,,,-2.9026339,52.82016,263.2535,-6.57707,172.07996,18.3696712,-14.9316,-10.7001,290.883,3.40971,13.318,12.605,14.8482,14.9457,13.9559,14.6539,12.6554,10.311,10.275,8.867,,12.452,1.0,84373.71875,368050.65625,,,,1.0670538542766632,,,13210.2998046875
40,40,EPIC 201270464.01,HD 98575,HIP 55390,TIC 38116680,2,1.0,0.0,0.0,1.57771549,,,,,,,,,,,,,,,,,2456818.327691,0.0,,0.875,2.993,,,,,,,,,7333.0,2.57,1.66,,,1.235,3.84,,0.1383,,,,-2.8982132,52.8243,263.25055,-6.57266,172.07903,16.9452891,-12.1525,-11.8093,307.784,3.22155,9.82,9.12,,,,,,8.394,8.424,8.298,,9.392,1.0,19768.875,2974158.5,,,,0.6274428274428274,,,5282.3525390625
41,41,EPIC 201274010.01,,,TIC 56813470,2,1.0,0.0,0.0,13.0113,,2.43,,,,,,,,,,,,,713.0,,2457589.515,0.0,0.42,0.065,2.2008,26.7,0.0255,,,,,,,5347.0,0.88,0.92,,,-0.244,4.51,,1.9019,,,,-2.844186,58.64353,284.36294,-1.29451,184.16642,10.1328663,4.72775,-8.96233,501.257,1.9665,14.808,14.003,15.9959,14.4262,13.8168,13.6025,13.5145,12.096,11.779,8.539,,13.902,10.0,256.23046875,38765.171875,38765.37109375,38771.5,13.68359375,0.9515570934256056,0.5033642660303914,6134927.5,17.874967575073242
